 ia a_1 a_t1
   1.0000000 -99.0000000 -99.0000000
   2.0000000 -97.4032258 -97.4032258
   3.0000000 -95.8064516 -95.8064516
   4.0000000 -94.2096774 -94.2096774
   5.0000000 -92.6129032 -92.6129032
   6.0000000 -91.0161290 -91.0161290
   7.0000000 -89.4193548 -89.4193548
   8.0000000 -87.8225806 -87.8225806
   9.0000000 -86.2258065 -86.2258065
  10.0000000 -84.6290323 -84.6290323
  11.0000000 -83.0322581 -83.0322581
  12.0000000 -81.4354839 -81.4354839
  13.0000000 -79.8387097 -79.8387097
  14.0000000 -78.2419355 -78.2419355
  15.0000000 -76.6451613 -76.6451613
  16.0000000 -75.0483871 -75.0483871
  17.0000000 -73.4516129 -73.4516129
  18.0000000 -71.8548387 -71.8548387
  19.0000000 -70.2580645 -70.2580645
  20.0000000 -68.6612903 -68.6612903
  21.0000000 -67.0645161 -67.0645161
  22.0000000 -65.4677419 -65.4677419
  23.0000000 -63.8709677 -63.8709677
  24.0000000 -62.2741935 -62.2741935
  25.0000000 -60.6774194 -60.6774194
  26.0000000 -59.0806452 -59.0806452
  27.0000000 -57.4838710 -57.4838710
  28.0000000 -55.8870968 -55.8870968
  29.0000000 -54.2903226 -54.2903226
  30.0000000 -52.6935484 -52.6935484
  31.0000000 -51.0967742 -51.0967742
  32.0000000 -49.5000000 -49.5000000
  33.0000000 -47.9032258 -47.9032258
  34.0000000 -46.3064516 -46.3064516
  35.0000000 -44.7096774 -44.7096774
  36.0000000 -43.1129032 -43.1129032
  37.0000000 -41.5161290 -41.5161290
  38.0000000 -39.9193548 -39.9193548
  39.0000000 -38.3225806 -38.3225806
  40.0000000 -36.7258065 -36.7258065
  41.0000000 -35.1290323 -35.1290323
  42.0000000 -33.5322581 -33.5322581
  43.0000000 -31.9354839 -31.9354839
  44.0000000 -30.3387097 -30.3387097
  45.0000000 -28.7419355 -28.7419355
  46.0000000 -27.1451613 -27.1451613
  47.0000000 -25.5483871 -25.5483871
  48.0000000 -23.9516129 -23.9516129
  49.0000000 -22.3548387 -22.3548387
  50.0000000 -20.7580645 -20.7580645
  51.0000000 -19.1612903 -19.1612903
  52.0000000 -17.5645161 -17.5645161
  53.0000000 -15.9677419 -15.9677419
  54.0000000 -14.3709677 -14.3709677
  55.0000000 -12.7741935 -12.7741935
  56.0000000 -11.1774194 -11.1774194
  57.0000000  -9.5806452  -9.5806452
  58.0000000  -7.9838710  -7.9838710
  59.0000000  -6.3870968  -6.3870968
  60.0000000  -4.7903226  -4.7903226
  61.0000000  -3.1935484  -3.1935484
  62.0000000  -1.5967742  -1.5967742
  63.0000000   0.0000000   0.0000000
  64.0000000   0.8705653   0.8705653
  65.0000000   2.4623304   2.4623304
  66.0000000   4.5235900   4.5235900
  67.0000000   6.9645228   6.9645228
  68.0000000   9.7332165   9.7332165
  69.0000000  12.7946449  12.7946449
  70.0000000  16.1230969  16.1230969
  71.0000000  19.6986433  19.6986433
  72.0000000  23.5052648  23.5052648
  73.0000000  27.5296938  27.5296938
  74.0000000  31.7607224  31.7607224
  75.0000000  36.1887198  36.1887198
  76.0000000  40.8052821  40.8052821
  77.0000000  45.6030028  45.6030028
  78.0000000  50.5752767  50.5752767
  79.0000000  55.7161823  55.7161823
  80.0000000  61.0203557  61.0203557
  81.0000000  66.4829236  66.4829236
  82.0000000  72.0994338  72.0994338
  83.0000000  77.8657321  77.8657321
  84.0000000  83.7780565  83.7780565
  85.0000000  89.8328986  89.8328986
  86.0000000  96.0269526  96.0269526
  87.0000000 102.3571596 102.3571596
  88.0000000 108.8206634 108.8206634
  89.0000000 115.4147662 115.4147662
  90.0000000 122.1369348 122.1369348
  91.0000000 128.9847754 128.9847754
  92.0000000 135.9559827 135.9559827
  93.0000000 143.0484794 143.0484794
  94.0000000 150.2601758 150.2601758
  95.0000000 157.5891465 157.5891465
  96.0000000 165.0335424 165.0335424
  97.0000000 172.5916155 172.5916155
  98.0000000 180.2616812 180.2616812
  99.0000000 188.0421184 188.0421184
 100.0000000 195.9313564 195.9313564
 101.0000000 203.9279766 203.9279766
 102.0000000 212.0304845 212.0304845
 103.0000000 220.2375501 220.2375501
 104.0000000 228.5478562 228.5478562
 105.0000000 236.9601235 236.9601235
 106.0000000 245.4731867 245.4731867
 107.0000000 254.0857792 254.0857792
 108.0000000 262.7968371 262.7968371
 109.0000000 271.6052458 271.6052458
 110.0000000 280.5098906 280.5098906
 111.0000000 289.5097584 289.5097584
 112.0000000 298.6038864 298.6038864
 113.0000000 307.7913120 307.7913120
 114.0000000 317.0710981 317.0710981
 115.0000000 326.4422566 326.4422566
 116.0000000 335.9040022 335.9040022
 117.0000000 345.4554230 345.4554230
 118.0000000 355.0957084 355.0957084
 119.0000000 364.8240224 364.8240224
 120.0000000 374.6395543 374.6395543
 121.0000000 384.5416203 384.5416203
 122.0000000 394.5294350 394.5294350
 123.0000000 404.6022132 404.6022132
 124.0000000 414.7593215 414.7593215
 125.0000000 425.0000000 425.0000000
