 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.4541704  96.0104893 -16.7380735   2.8604497   1.0101239  12.7329261 -24.2328772   1.0777423
   2.0000000   1.4540000  96.1000905 -16.7566562   2.8632618   1.0103113  12.7301806 -24.2286341   1.0779826
   3.0000000   1.4538567  96.0108286 -17.1159920   2.8295100   1.1348934  14.0367095  -7.3176085   1.1612276
   4.0000000   1.4547708  97.2096840 -17.5723020   2.8518894   1.0501650  17.7041471  -7.7341986   1.2632621
   5.0000000   1.4545236  97.3223204 -17.7773354   2.8582588   1.0449356  17.1750525  -7.5177996   1.2546323
   6.0000000   1.4540225  97.3414317 -17.9129544   2.8630292   1.0318946  16.6128514  -7.9746390   1.2366683
   7.0000000   1.4534813  97.1495486 -17.9897364   2.8628438   1.0238461  16.1909015  -8.4550114   1.2244792
   8.0000000   1.4530970  96.9402459 -18.0528493   2.8629330   1.0207080  15.9644303  -9.2909827   1.2170130
   9.0000000   1.4529480  96.7807700 -18.0923826   2.8635681   1.0173880  15.8169352 -10.0394835   1.2112068
  10.0000000   1.4528689  96.6294303 -18.1152107   2.8637484   1.0123860  15.4513957 -11.5355257   1.1969606
  11.0000000   1.4527794  96.4625616 -18.1255480   2.8636716   1.0155364  15.3959861 -12.3244366   1.1948504
  12.0000000   1.4527828  96.3437243 -18.1294684   2.8633983   1.0048943  14.9631538 -14.0773160   1.1749398
  13.0000000   1.4527630  96.1035171 -18.1067456   2.8606109   1.0073449  14.8230743 -14.8446360   1.1684818
  14.0000000   1.4529899  95.9304997 -18.0918088   2.8590732   1.0071754  14.4286331 -16.3239638   1.1524230
  15.0000000   1.4532223  95.7723484 -18.0749516   2.8578987   1.0136433  14.1322440 -16.7404180   1.1456606
  16.0000000   1.4534537  95.6612909 -18.0580264   2.8572339   1.0076985  14.0530577 -17.9676448   1.1372552
  17.0000000   1.4535850  95.5073527 -18.0322472   2.8555331   1.0075487  13.6455584 -19.1581111   1.1224972
  18.0000000   1.4537453  95.3747203 -18.0000451   2.8542250   1.0056093  13.9158680 -19.8066749   1.1262132
  19.0000000   1.4538743  95.2306523 -17.9663282   2.8524996   1.0093456  13.5180575 -20.4820605   1.1140467
  20.0000000   1.4540422  95.1266826 -17.9335513   2.8514807   1.0065575  13.4394378 -21.0521282   1.1101333
  21.0000000   1.4542040  95.0150861 -17.8949006   2.8501510   1.0065531  13.2410414 -21.6344261   1.1035746
  22.0000000   1.4543350  94.9045882 -17.8530805   2.8485509   1.0030644  12.9390104 -22.4775956   1.0923265
  23.0000000   1.4544503  94.7817904 -17.8069825   2.8468885   1.0082317  12.6097622 -22.7193946   1.0828447
  24.0000000   1.4547193  94.7245805 -17.7656166   2.8465144   1.0111826  12.3050988 -22.9328641   1.0748484
  25.0000000   1.4550134  94.6962173 -17.7260466   2.8467124   1.0111343  12.2091677 -23.2473300   1.0718825
  26.0000000   1.4552645  94.6669634 -17.6842116   2.8467954   1.0111759  12.1523126 -23.5404707   1.0700732
  27.0000000   1.4554380  94.6261140 -17.6431699   2.8466495   1.0139787  12.1625279 -23.2789983   1.0710985
  28.0000000   1.4557266  94.6312036 -17.6029385   2.8473197   1.0118269  12.3050224 -23.7040329   1.0734101
  29.0000000   1.4559143  94.6068821 -17.5600451   2.8473291   1.0123906  12.2530480 -23.8126620   1.0720300
  30.0000000   1.4560877  94.5882800 -17.5160897   2.8474170   1.0120663  12.3120020 -24.0254779   1.0729608
  31.0000000   1.4562524  94.5694650 -17.4745159   2.8474471   1.0132547  12.2873322 -24.0743602   1.0720899
  32.0000000   1.4564114  94.5608975 -17.4319103   2.8476610   1.0129458  12.3783324 -24.0530044   1.0740321
  33.0000000   1.4565675  94.5530657 -17.3895313   2.8478474   1.0141451  12.3984868 -24.0258953   1.0746597
