 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.4541704  96.0104893 -16.7380735   2.8604497   1.0101239  12.7329261 -24.2328772   1.0777423
   2.0000000   1.4540000  96.1000905 -16.7566562   2.8632822   1.0103113  12.7301806 -24.2286341   1.0779854
   3.0000000   1.4538567  96.0039691 -17.1226488   2.8292470   1.1320641  14.0509784  -7.4083472   1.1587314
   4.0000000   1.4547559  97.1651496 -17.5774869   2.8511057   1.0527663  17.7155590  -7.5944487   1.2649797
   5.0000000   1.4545285  97.2896762 -17.7944236   2.8578476   1.0454171  17.1695869  -7.5161498   1.2548016
   6.0000000   1.4540366  97.3069648 -17.9372756   2.8627917   1.0320089  16.6092307  -7.9934108   1.2366993
   7.0000000   1.4535003  97.1107051 -18.0193415   2.8626506   1.0231486  16.1286165  -8.5844838   1.2227873
   8.0000000   1.4530648  96.8848809 -18.0836213   2.8625774   1.0210305  16.0272989  -9.2446676   1.2185409
   9.0000000   1.4529585  96.7281133 -18.1326704   2.8634871   1.0174902  15.8205874 -10.0735131   1.2114179
  10.0000000   1.4528878  96.5735945 -18.1612110   2.8636904   1.0116595  15.4354351 -11.6069620   1.1961880
  11.0000000   1.4527824  96.3951365 -18.1771411   2.8634899   1.0163571  15.3851447 -12.3065591   1.1944348
  12.0000000   1.4528843  96.2253840 -18.1747603   2.8618901   1.0050669  14.9514063 -14.0970680   1.1745141
  13.0000000   1.4528549  95.9741258 -18.1660480   2.8593253   1.0071827  14.8956014 -15.0574852   1.1694867
  14.0000000   1.4530743  95.7987051 -18.1580031   2.8578560   1.0078124  14.4682554 -16.3004998   1.1534435
  15.0000000   1.4532755  95.6380339 -18.1462923   2.8566861   1.0139665  14.1514663 -16.8179883   1.1459722
  16.0000000   1.4535198  95.5328643 -18.1343724   2.8561743   1.0082531  14.0922640 -17.9394453   1.1382310
  17.0000000   1.4536323  95.3796116 -18.1106747   2.8544966   1.0080731  13.6908354 -19.1222254   1.1235572
