 ia a_1 a_t1
   1.0000000 -99.0000000 -99.0000000
   2.0000000 -97.4032258 -97.4032258
   3.0000000 -95.8064516 -95.8064516
   4.0000000 -94.2096774 -94.2096774
   5.0000000 -92.6129032 -92.6129032
   6.0000000 -91.0161290 -91.0161290
   7.0000000 -89.4193548 -89.4193548
   8.0000000 -87.8225806 -87.8225806
   9.0000000 -86.2258065 -86.2258065
  10.0000000 -84.6290323 -84.6290323
  11.0000000 -83.0322581 -83.0322581
  12.0000000 -81.4354839 -81.4354839
  13.0000000 -79.8387097 -79.8387097
  14.0000000 -78.2419355 -78.2419355
  15.0000000 -76.6451613 -76.6451613
  16.0000000 -75.0483871 -75.0483871
  17.0000000 -73.4516129 -73.4516129
  18.0000000 -71.8548387 -71.8548387
  19.0000000 -70.2580645 -70.2580645
  20.0000000 -68.6612903 -68.6612903
  21.0000000 -67.0645161 -67.0645161
  22.0000000 -65.4677419 -65.4677419
  23.0000000 -63.8709677 -63.8709677
  24.0000000 -62.2741935 -62.2741935
  25.0000000 -60.6774194 -60.6774194
  26.0000000 -59.0806452 -59.0806452
  27.0000000 -57.4838710 -57.4838710
  28.0000000 -55.8870968 -55.8870968
  29.0000000 -54.2903226 -54.2903226
  30.0000000 -52.6935484 -52.6935484
  31.0000000 -51.0967742 -51.0967742
  32.0000000 -49.5000000 -49.5000000
  33.0000000 -47.9032258 -47.9032258
  34.0000000 -46.3064516 -46.3064516
  35.0000000 -44.7096774 -44.7096774
  36.0000000 -43.1129032 -43.1129032
  37.0000000 -41.5161290 -41.5161290
  38.0000000 -39.9193548 -39.9193548
  39.0000000 -38.3225806 -38.3225806
  40.0000000 -36.7258065 -36.7258065
  41.0000000 -35.1290323 -35.1290323
  42.0000000 -33.5322581 -33.5322581
  43.0000000 -31.9354839 -31.9354839
  44.0000000 -30.3387097 -30.3387097
  45.0000000 -28.7419355 -28.7419355
  46.0000000 -27.1451613 -27.1451613
  47.0000000 -25.5483871 -25.5483871
  48.0000000 -23.9516129 -23.9516129
  49.0000000 -22.3548387 -22.3548387
  50.0000000 -20.7580645 -20.7580645
  51.0000000 -19.1612903 -19.1612903
  52.0000000 -17.5645161 -17.5645161
  53.0000000 -15.9677419 -15.9677419
  54.0000000 -14.3709677 -14.3709677
  55.0000000 -12.7741935 -12.7741935
  56.0000000 -11.1774194 -11.1774194
  57.0000000  -9.5806452  -9.5806452
  58.0000000  -7.9838710  -7.9838710
  59.0000000  -6.3870968  -6.3870968
  60.0000000  -4.7903226  -4.7903226
  61.0000000  -3.1935484  -3.1935484
  62.0000000  -1.5967742  -1.5967742
  63.0000000   0.0000000   0.0000000
  64.0000000   1.0241945   1.0241945
  65.0000000   2.8968593   2.8968593
  66.0000000   5.3218706   5.3218706
  67.0000000   8.1935562   8.1935562
  68.0000000  11.4508430  11.4508430
  69.0000000  15.0525235  15.0525235
  70.0000000  18.9683493  18.9683493
  71.0000000  23.1748745  23.1748745
  72.0000000  27.6532527  27.6532527
  73.0000000  32.3878750  32.3878750
  74.0000000  37.3655558  37.3655558
  75.0000000  42.5749645  42.5749645
  76.0000000  48.0062142  48.0062142
  77.0000000  53.6505915  53.6505915
  78.0000000  59.5003255  59.5003255
  79.0000000  65.5484498  65.5484498
  80.0000000  71.7886537  71.7886537
  81.0000000  78.2152042  78.2152042
  82.0000000  84.8228633  84.8228633
  83.0000000  91.6067436  91.6067436
  84.0000000  98.5624194  98.5624194
  85.0000000 105.6857631 105.6857631
  86.0000000 112.9728854 112.9728854
  87.0000000 120.4201877 120.4201877
  88.0000000 128.0243099 128.0243099
  89.0000000 135.7820779 135.7820779
  90.0000000 143.6905116 143.6905116
  91.0000000 151.7467946 151.7467946
  92.0000000 159.9482149 159.9482149
  93.0000000 168.2923287 168.2923287
  94.0000000 176.7766774 176.7766774
  95.0000000 185.3989959 185.3989959
  96.0000000 194.1571087 194.1571087
  97.0000000 203.0489594 203.0489594
  98.0000000 212.0725662 212.0725662
  99.0000000 221.2260216 221.2260216
 100.0000000 230.5074781 230.5074781
 101.0000000 239.9152666 239.9152666
 102.0000000 249.4476289 249.4476289
 103.0000000 259.1030002 259.1030002
 104.0000000 268.8798308 268.8798308
 105.0000000 278.7766159 278.7766159
 106.0000000 288.7919843 288.7919843
 107.0000000 298.9244461 298.9244461
 108.0000000 309.1727495 309.1727495
 109.0000000 319.5355833 319.5355833
 110.0000000 330.0116360 330.0116360
 111.0000000 340.5997157 340.5997157
 112.0000000 351.2986898 351.2986898
 113.0000000 362.1074259 362.1074259
 114.0000000 373.0248213 373.0248213
 115.0000000 384.0497136 384.0497136
 116.0000000 395.1811790 395.1811790
 117.0000000 406.4181447 406.4181447
 118.0000000 417.7596569 417.7596569
 119.0000000 429.2047322 429.2047322
 120.0000000 440.7524168 440.7524168
 121.0000000 452.4019063 452.4019063
 122.0000000 464.1522765 464.1522765
 123.0000000 476.0026038 476.0026038
 124.0000000 487.9521430 487.9521430
 125.0000000 500.0000000 500.0000000
