 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3809142  88.1990856 -12.8387662   2.6333307   1.0794401   1.9327900 -11.3734123   0.8199102
   2.0000000   1.3803482  88.5044342 -12.8912355   2.6212300   1.0821418   2.4449945 -10.8581171   0.8345560
   3.0000000   1.3800245  88.8231913 -14.1796947   2.6096311   1.2090827   8.2889239  -6.4397381   1.0405260
   4.0000000   1.3801807  90.8027874 -14.9552637   2.6537973   1.1217985  11.9418373 -13.2945340   1.1638851
   5.0000000   1.3802514  91.1047641 -14.2547769   2.6694042   1.0715059  11.9065018  -7.4953784   1.1500858
   6.0000000   1.3811259  91.0122047 -14.1968491   2.6761003   1.0907606  11.3214826  -2.7104827   1.1450775
   7.0000000   1.3806838  90.6225249 -14.2987751   2.6755055   1.0853837   9.9295686  -3.7301574   1.0971840
   8.0000000   1.3804421  90.2173068 -14.3921539   2.6738793   1.0774531   9.1367461  -4.3444957   1.0671162
   9.0000000   1.3802470  89.6785453 -14.4621019   2.6685118   1.0771966   7.8232706  -5.4753378   1.0205536
  10.0000000   1.3801233  89.1932140 -14.5304013   2.6631235   1.0797646   6.8972556  -6.3456008   0.9891366
  11.0000000   1.3800742  88.7897718 -14.5879380   2.6592494   1.0829855   6.3011266  -6.9598073   0.9689035
  12.0000000   1.3802541  88.5138080 -14.6339809   2.6568524   1.0827719   5.5037537  -7.6233763   0.9412918
  13.0000000   1.3802563  88.2112285 -14.6760629   2.6532308   1.0819285   4.6271510  -8.5198523   0.9126447
  14.0000000   1.3802059  87.9185325 -14.7036116   2.6495015   1.0714584   4.2321435  -8.9867417   0.8981871
  15.0000000   1.3802061  87.5876973 -14.7115787   2.6447068   1.0802603   3.6770934  -9.3943785   0.8791594
  16.0000000   1.3803477  87.3922550 -14.7187367   2.6421885   1.0796470   3.2014767  -9.8960964   0.8631479
  17.0000000   1.3805847  87.2416882 -14.7168781   2.6404180   1.0802623   2.9838130 -10.1235177   0.8556711
  18.0000000   1.3808145  87.1130569 -14.7090764   2.6387461   1.0811373   2.7349552 -10.2872868   0.8478410
  19.0000000   1.3808955  86.9682707 -14.6971293   2.6365079   1.0718929   2.6794600 -10.4481117   0.8456198
  20.0000000   1.3809246  86.7544528 -14.6736123   2.6324825   1.0722727   2.5132462 -10.5775403   0.8397424
  21.0000000   1.3809995  86.5754862 -14.6457337   2.6291763   1.0745163   2.4550043 -10.6089791   0.8379032
  22.0000000   1.3811770  86.4596640 -14.6153279   2.6269506   1.0747913   2.3481016 -10.7560756   0.8343975
  23.0000000   1.3813865  86.3694070 -14.5804493   2.6251471   1.0770885   2.2563089 -10.8136762   0.8314084
  24.0000000   1.3816001  86.3107547 -14.5432207   2.6238533   1.0813748   2.1437413 -10.8948722   0.8277434
  25.0000000   1.3818368  86.3039202 -14.5055628   2.6235825   1.0803026   2.0915675 -10.9768816   0.8262746
  26.0000000   1.3820465  86.2899400 -14.4636665   2.6230372   1.0797429   2.0255333 -11.0328467   0.8243925
  27.0000000   1.3821556  86.2501286 -14.4194182   2.6219276   1.0825134   1.9322538 -11.1224587   0.8215427
  28.0000000   1.3823541  86.2666121 -14.3757377   2.6222009   1.0802518   1.9640103 -11.1087580   0.8224863
  29.0000000   1.3824701  86.2478227 -14.3290788   2.6216880   1.0843355   2.5559312 -10.5157863   0.8409745
  30.0000000   1.3827949  86.3259674 -14.2875752   2.6228560   1.0804631   2.5760975 -10.5594801   0.8413400
  31.0000000   1.3828538  86.3019447 -14.2399147   2.6217733   1.0799507   2.4817461 -10.6637211   0.8385530
  32.0000000   1.3828879  86.2721000 -14.1907158   2.6205596   1.0792853   2.4475195 -10.7247042   0.8373435
  33.0000000   1.3829348  86.2455614 -14.1405549   2.6193857   1.0785833   2.4030595 -10.8036983   0.8359121
  34.0000000   1.3830113  86.2278007 -14.0879454   2.6184108   1.0786735   2.3738765 -10.8518956   0.8349981
  35.0000000   1.3831222  86.2251522 -14.0349428   2.6177433   1.0788576   2.3553721 -10.8798411   0.8344902
  36.0000000   1.3832301  86.2273891 -13.9817607   2.6172075   1.0790010   2.3477590 -10.8988982   0.8341765
  37.0000000   1.3833503  86.2379438 -13.9282529   2.6167692   1.0814160   2.3005178 -10.9241819   0.8318957
  38.0000000   1.3834630  86.2694319 -13.8760394   2.6167722   1.0807819   2.2936983 -10.9512379   0.8316443
  39.0000000   1.3835165  86.2824122 -13.8219983   2.6163718   1.0803220   2.2639511 -10.9851300   0.8306333
  40.0000000   1.3835378  86.2844884 -13.7673480   2.6157531   1.0802951   2.2520351 -11.0136538   0.8302085
  41.0000000   1.3835702  86.2920625 -13.7148115   2.6152654   1.0803998   2.2682560 -10.9975979   0.8305025
  42.0000000   1.3835997  86.3019875 -13.6632748   2.6147970   1.0804899   2.2665320 -11.0049956   0.8303796
  43.0000000   1.3836076  86.3079534 -13.6107018   2.6142437   1.0831549   2.1947017 -11.0666727   0.8283936
  44.0000000   1.3836892  86.3577444 -13.5601710   2.6146586   1.0824542   2.2032621 -11.0779401   0.8286771
  45.0000000   1.3837129  86.3847436 -13.5104021   2.6146062   1.0828677   2.1893441 -11.0973197   0.8282371
  46.0000000   1.3837308  86.4145791 -13.4613994   2.6146225   1.0823713   2.1975735 -11.1005465   0.8284956
  47.0000000   1.3837340  86.4367889 -13.4123408   2.6144822   1.0823056   2.1956128 -11.1115542   0.8284264
  48.0000000   1.3837331  86.4575518 -13.3639250   2.6143132   1.0824238   2.1975653 -11.1150469   0.8284570
  49.0000000   1.3837261  86.4776451 -13.3166247   2.6141458   1.0824192   2.1965677 -11.1251667   0.8284269
  50.0000000   1.3835975  86.5700986 -13.2821565   2.6154373   1.0824622   2.1953386 -11.1326935   0.8283959
  51.0000000   1.3834887  86.6647055 -13.2477358   2.6168310   1.0816343   2.0875745 -11.2514859   0.8248387
  52.0000000   1.3833674  86.7451985 -13.2127921   2.6180329   1.0806796   2.0770952 -11.2725702   0.8245068
  53.0000000   1.3832748  86.8301411 -13.1692657   2.6192671   1.0807922   2.0621109 -11.2890001   0.8240734
  54.0000000   1.3831910  86.9130093 -13.1277679   2.6205141   1.0803228   2.0638296 -11.2894593   0.8241232
  55.0000000   1.3830936  86.9832475 -13.0881302   2.6215140   1.0799030   2.0593906 -11.3010345   0.8239999
  56.0000000   1.3830010  87.0463889 -13.0509697   2.6223892   1.0794655   2.0573139 -11.3151878   0.8239407
  57.0000000   1.3829138  87.1025115 -13.0160765   2.6231413   1.0791244   2.0548711 -11.3303294   0.8238750
  58.0000000   1.3828322  87.1533918 -12.9823984   2.6238026   1.0789725   2.0495204 -11.3421137   0.8237287
  59.0000000   1.3827614  87.2017461 -12.9513322   2.6244289   1.0787365   2.0507001 -11.3464246   0.8237691
  60.0000000   1.3826863  87.2441122 -12.9214666   2.6249342   1.0785305   2.0508627 -11.3519803   0.8237689
