 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3809142  88.1990856 -12.8387662   2.6333307   1.0794401   1.9327900 -11.3734123   0.8199102
   2.0000000   1.3806041  88.3740604 -12.8688329   2.5860245   1.0909731   3.4672223  -9.8101242   0.8655697
   3.0000000   1.3809177  88.4748067 -13.0130110   2.5969655   1.0779706   2.3621455 -11.3746230   0.8313907
   4.0000000   1.3810046  88.4002999 -13.1069226   2.6042358   1.0814146   2.3629589 -11.1635703   0.8317415
   5.0000000   1.3810872  88.3743752 -13.1926788   2.6116481   1.0813415   2.4208493 -11.0396042   0.8338998
   6.0000000   1.3811711  88.2857622 -13.2616876   2.6163036   1.0832006   2.3877184 -10.9800450   0.8330643
   7.0000000   1.3811713  88.1969865 -13.3327217   2.6205826   1.0817823   2.4108323 -10.9651717   0.8344022
   8.0000000   1.3812490  88.0830436 -13.3851602   2.6231762   1.0803023   2.0582134 -11.3063259   0.8239494
   9.0000000   1.3812198  87.9383483 -13.4331329   2.6247521   1.0815905   2.0524508 -11.2747443   0.8239874
  10.0000000   1.3812641  87.8507492 -13.4668155   2.6271388   1.0748378   2.0770940 -11.3203907   0.8244934
  11.0000000   1.3813867  87.6242823 -13.4894706   2.6257425   1.0779959   2.0661426 -11.2648819   0.8243213
  12.0000000   1.3815391  87.4460452 -13.5149943   2.6248788   1.0788540   2.0842212 -11.2269563   0.8249728
  13.0000000   1.3816654  87.2894182 -13.5316356   2.6241626   1.0796656   2.1006347 -11.2063588   0.8255539
  14.0000000   1.3817978  87.1597264 -13.5419652   2.6235808   1.0794724   2.0480903 -11.2631601   0.8238091
  15.0000000   1.3819100  87.0395298 -13.5454377   2.6228548   1.0794810   2.0452038 -11.2635009   0.8237494
  16.0000000   1.3820295  86.9377019 -13.5429749   2.6222072   1.0808532   2.0433190 -11.2052234   0.8237135
  17.0000000   1.3821140  86.8507313 -13.5376442   2.6215986   1.0808331   2.0442826 -11.2274309   0.8237560
  18.0000000   1.3822210  86.7917644 -13.5185191   2.6214781   1.0784741   2.1050363 -11.1789918   0.8253702
  19.0000000   1.3822482  86.6920304 -13.5059530   2.6202128   1.0796554   2.0867732 -11.1859894   0.8248326
  20.0000000   1.3823290  86.6174133 -13.5009533   2.6191554   1.0825657   2.0238724 -11.2344361   0.8231177
  21.0000000   1.3824870  86.6118135 -13.4800134   2.6194298   1.0817524   2.0418398 -11.2282965   0.8236313
  22.0000000   1.3825823  86.5846708 -13.4605975   2.6191445   1.0816285   2.0428845 -11.2314123   0.8236528
  23.0000000   1.3826642  86.5606628 -13.4384827   2.6187963   1.0816310   2.0438354 -11.2250831   0.8236681
  24.0000000   1.3827330  86.5385708 -13.4151979   2.6183893   1.0815705   2.0431500 -11.2306529   0.8236326
  25.0000000   1.3827967  86.5205248 -13.3902919   2.6179746   1.0815483   2.0426414 -11.2335443   0.8236026
  26.0000000   1.3828541  86.5067699 -13.3631975   2.6175619   1.0815967   2.0435062 -11.2325951   0.8236371
  27.0000000   1.3829052  86.4967093 -13.3354631   2.6171547   1.0815637   2.0433235 -11.2348381   0.8236138
  28.0000000   1.3829511  86.4896652 -13.3061731   2.6167498   1.0815553   2.0426175 -11.2375218   0.8235781
  29.0000000   1.3829919  86.4849532 -13.2759595   2.6163450   1.0815491   2.0435102 -11.2387871   0.8235660
  30.0000000   1.3830289  86.4833617 -13.2445596   2.6159510   1.0817882   2.0390583 -11.2396386   0.8233953
  31.0000000   1.3830585  86.4848070 -13.2128794   2.6155887   1.0817360   2.0385315 -11.2402633   0.8233651
  32.0000000   1.3830841  86.4879319 -13.1803574   2.6152339   1.0817346   2.0379543 -11.2424280   0.8233302
  33.0000000   1.3831050  86.4914601 -13.1484506   2.6148581   1.0818831   2.0396213 -11.2442343   0.8233430
  34.0000000   1.3831249  86.4998041 -13.1155748   2.6147077   1.0818384   2.0396802 -11.2436571   0.8233349
  35.0000000   1.3831388  86.5089222 -13.0817535   2.6146352   1.0818442   2.0388521 -11.2466773   0.8233055
  36.0000000   1.3830311  86.5965419 -13.0571855   2.6158766   1.0818845   2.0384235 -11.2450761   0.8232893
  37.0000000   1.3829419  86.6807475 -13.0380891   2.6170897   1.0818336   2.0237148 -11.2523109   0.8228070
  38.0000000   1.3828637  86.7701928 -13.0121207   2.6184203   1.0813836   2.0127217 -11.2593460   0.8224441
  39.0000000   1.3827820  86.8523769 -12.9848732   2.6196633   1.0808976   2.0041300 -11.2794094   0.8221691
  40.0000000   1.3827107  86.9302241 -12.9575413   2.6208261   1.0802328   2.0020568 -11.2974392   0.8220996
  41.0000000   1.3826406  86.9992796 -12.9316036   2.6218182   1.0797209   1.9994689 -11.3091455   0.8220137
  42.0000000   1.3825696  87.0594357 -12.9068597   2.6226368   1.0792567   1.9970267 -11.3229864   0.8219411
  43.0000000   1.3825011  87.1130234 -12.8832580   2.6233251   1.0789044   1.9949587 -11.3330908   0.8218759
  44.0000000   1.3824351  87.1620213 -12.8597775   2.6239176   1.0786181   1.9933462 -11.3412718   0.8218228
  45.0000000   1.3823714  87.2060550 -12.8371805   2.6244165   1.0783826   1.9919178 -11.3492111   0.8217761
  46.0000000   1.3823105  87.2460068 -12.8159645   2.6248426   1.0781989   1.9909915 -11.3543935   0.8217406
  47.0000000   1.3822521  87.2826926 -12.7960296   2.6252104   1.0780411   1.9899292 -11.3607623   0.8217065
  48.0000000   1.3821968  87.3166904 -12.7767634   2.6255314   1.0779173   1.9889629 -11.3659621   0.8216751
  49.0000000   1.3821444  87.3480970 -12.7588000   2.6258116   1.0778146   1.9881151 -11.3710708   0.8216482
  50.0000000   1.3820948  87.3774413 -12.7418654   2.6260586   1.0777381   1.9874601 -11.3745753   0.8216270
  51.0000000   1.3820476  87.4050644 -12.7255326   2.6262779   1.0777087   1.9870752 -11.3716376   0.8216157
  52.0000000   1.3820008  87.4300813 -12.7107729   2.6264599   1.0776388   1.9870616 -11.3761244   0.8216085
  53.0000000   1.3819574  87.4542798 -12.6961434   2.6266305   1.0775946   1.9868295 -11.3790696   0.8215987
  54.0000000   1.3819163  87.4764243 -12.6830421   2.6267751   1.0775637   1.9866472 -11.3810261   0.8215909
  55.0000000   1.3818771  87.4979393 -12.6701947   2.6269089   1.0775433   1.9865140 -11.3821887   0.8215850
  56.0000000   1.3818397  87.5179759 -12.6587281   2.6270256   1.0775240   1.9863408 -11.3838102   0.8215790
  57.0000000   1.3818042  87.5373308 -12.6474625   2.6271333   1.0775137   1.9861993 -11.3847112   0.8215746
  58.0000000   1.3817704  87.5558365 -12.6368324   2.6272323   1.0775192   1.9862253 -11.3834433   0.8215745
  59.0000000   1.3817374  87.5733986 -12.6268977   2.6273202   1.0775315   1.9854250 -11.3841059   0.8215574
  60.0000000   1.3817060  87.5903317 -12.6179683   2.6274022   1.0775182   1.9852824 -11.3854307   0.8215523
  61.0000000   1.3816766  87.6063885 -12.6095214   2.6274883   1.0779978   2.0423361 -11.3247278   0.8234368
  62.0000000   1.3816629  87.6296957 -12.6015687   2.6277011   1.0786833   2.0411747 -11.3219823   0.8234548
  63.0000000   1.3816477  87.6567721 -12.5944451   2.6280392   1.0781789   2.0506617 -11.3217300   0.8237498
  64.0000000   1.3816243  87.6756775 -12.5880479   2.6282132   1.0780985   2.0495113 -11.3240753   0.8237099
  65.0000000   1.3815982  87.6919016 -12.5822514   2.6283400   1.0780065   2.0504956 -11.3241023   0.8237389
  66.0000000   1.3815733  87.7066225 -12.5773098   2.6284386   1.0780148   2.0502056 -11.3230842   0.8237296
  67.0000000   1.3815490  87.7241945 -12.5693252   2.6285885   1.0780356   2.0508746 -11.3156151   0.8237515
  68.0000000   1.3815232  87.7423796 -12.5595643   2.6287626   1.0780201   2.0501283 -11.3158890   0.8237255
  69.0000000   1.3814990  87.7432368 -12.5669277   2.6284309   1.0833393   1.9399727 -11.3623818   0.8203013
  70.0000000   1.3814742  87.7981011 -12.5643285   2.6293296   1.0810804   1.9415306 -11.3965587   0.8202709
  71.0000000   1.3814383  87.8273100 -12.5622317   2.6297371   1.0805018   1.9381635 -11.4083367   0.8201419
  72.0000000   1.3814028  87.8506176 -12.5598223   2.6300399   1.0801795   1.9356558 -11.4150160   0.8200487
  73.0000000   1.3813689  87.8703437 -12.5575625   2.6302895   1.0799740   1.9343496 -11.4181918   0.8199970
  74.0000000   1.3813369  87.8872565 -12.5560396   2.6304908   1.0798380   1.9337389 -11.4194240   0.8199690
  75.0000000   1.3813069  87.9022378 -12.5550138   2.6306577   1.0797373   1.9331126 -11.4204109   0.8199446
  76.0000000   1.3812788  87.9159027 -12.5542132   2.6308061   1.0796637   1.9326893 -11.4204974   0.8199276
  77.0000000   1.3812524  87.9284976 -12.5537260   2.6309390   1.0796061   1.9323972 -11.4203150   0.8199153
  78.0000000   1.3812277  87.9402552 -12.5535248   2.6310576   1.0795612   1.9321875 -11.4198734   0.8199063
  79.0000000   1.3812046  87.9511008 -12.5536501   2.6311604   1.0795262   1.9320719 -11.4191023   0.8198998
  80.0000000   1.3811829  87.9613737 -12.5540046   2.6312532   1.0795089   1.9324623 -11.4158216   0.8199024
  81.0000000   1.3811619  87.9707579 -12.5547499   2.6313380   1.0794768   1.9322513 -11.4165488   0.8198957
  82.0000000   1.3811427  87.9797644 -12.5556442   2.6314156   1.0794620   1.9322248 -11.4149759   0.8198936
  83.0000000   1.3811245  87.9882428 -12.5568452   2.6314874   1.0794470   1.9321815 -11.4138232   0.8198914
  84.0000000   1.3811075  87.9960667 -12.5585014   2.6315489   1.0794348   1.9321525 -11.4126472   0.8198897
  85.0000000   1.3810915  88.0035212 -12.5603557   2.6316084   1.0794255   1.9321395 -11.4113419   0.8198886
  86.0000000   1.3810764  88.0106146 -12.5624190   2.6316617   1.0794182   1.9321178 -11.4100250   0.8198876
  87.0000000   1.3810622  88.0173011 -12.5647512   2.6317106   1.0794122   1.9321177 -11.4086909   0.8198871
  88.0000000   1.3810489  88.0238037 -12.5671313   2.6317554   1.0794083   1.9321208 -11.4072476   0.8198868
  89.0000000   1.3810363  88.0301821 -12.5695707   2.6318000   1.0794053   1.9320890 -11.4058752   0.8198861
  90.0000000   1.3810245  88.0363396 -12.5721351   2.6318427   1.0794018   1.9320818 -11.4046852   0.8198856
  91.0000000   1.3810134  88.0422073 -12.5748757   2.6318844   1.0794008   1.9321039 -11.4032528   0.8198859
  92.0000000   1.3810029  88.0476592 -12.5779150   2.6319182   1.0793992   1.9321084 -11.4020285   0.8198858
  93.0000000   1.3809931  88.0533705 -12.5806382   2.6319553   1.0794009   1.9321597 -11.4006693   0.8198880
  94.0000000   1.3809839  88.0588372 -12.5835180   2.6319900   1.0793986   1.9321793 -11.3994710   0.8198883
  95.0000000   1.3809752  88.0641768 -12.5864136   2.6320234   1.0794008   1.9322609 -11.3978694   0.8198895
  96.0000000   1.3809670  88.0693711 -12.5894147   2.6320550   1.0793999   1.9322613 -11.3969352   0.8198893
  97.0000000   1.3809594  88.0742599 -12.5926204   2.6320842   1.0794009   1.9322796 -11.3957621   0.8198896
  98.0000000   1.3809522  88.0791238 -12.5958720   2.6321137   1.0794020   1.9322916 -11.3946410   0.8198897
  99.0000000   1.3809455  88.0838454 -12.5991880   2.6321410   1.0794036   1.9323058 -11.3935249   0.8198899
 100.0000000   1.3809392  88.0884446 -12.6023796   2.6321685   1.0794052   1.9323205 -11.3924497   0.8198902
 101.0000000   1.3809334  88.0930905 -12.6054853   2.6321966   1.0794066   1.9323349 -11.3914406   0.8198904
 102.0000000   1.3809279  88.0977783 -12.6085483   2.6322265   1.0794096   1.9323589 -11.3903125   0.8198909
 103.0000000   1.3809228  88.1023342 -12.6116229   2.6322553   1.0794107   1.9323534 -11.3893972   0.8198907
 104.0000000   1.3809180  88.1068788 -12.6147284   2.6322838   1.0794135   1.9323803 -11.3883374   0.8198913
 105.0000000   1.3809136  88.1115412 -12.6177720   2.6323142   1.0794153   1.9323869 -11.3874524   0.8198913
 106.0000000   1.3809095  88.1162910 -12.6204936   2.6323465   1.0794174   1.9324002 -11.3865717   0.8198915
 107.0000000   1.3809057  88.1209580 -12.6233016   2.6323784   1.0794195   1.9324163 -11.3857345   0.8198918
 108.0000000   1.3809022  88.1256267 -12.6259872   2.6324112   1.0794216   1.9324286 -11.3849473   0.8198920
 109.0000000   1.3808990  88.1304105 -12.6284217   2.6324460   1.0794242   1.9324471 -11.3840802   0.8198923
 110.0000000   1.3808960  88.1351907 -12.6308421   2.6324819   1.0794282   1.9324701 -11.3830128   0.8198929
 111.0000000   1.3808931  88.1400653 -12.6329719   2.6325188   1.0794370   1.9325296 -11.3810270   0.8198944
 112.0000000   1.3808901  88.1449913 -12.6349470   2.6325577   1.0794414   1.9324405 -11.3802397   0.8198929
 113.0000000   1.3808874  88.1499960 -12.6368142   2.6325990   1.0794386   1.9323701 -11.3796637   0.8198920
 114.0000000   1.3808850  88.1550524 -12.6385288   2.6326416   1.0794389   1.9323690 -11.3790974   0.8198920
 115.0000000   1.3808829  88.1603279 -12.6401375   2.6326885   1.0794394   1.9323699 -11.3785843   0.8198921
 116.0000000   1.3808811  88.1656265 -12.6418635   2.6327370   1.0794399   1.9323798 -11.3780709   0.8198924
 117.0000000   1.3808794  88.1710517 -12.6435873   2.6327887   1.0794408   1.9323856 -11.3775416   0.8198927
 118.0000000   1.3808780  88.1766342 -12.6444152   2.6328446   1.0794414   1.9323869 -11.3770183   0.8198930
 119.0000000   1.3808766  88.1823545 -12.6441032   2.6329161   1.0794420   1.9324099 -11.3763610   0.8198942
 120.0000000   1.3809142  88.1990856 -12.8387662   2.6333307   1.0794401   1.9327900 -11.3734123   0.8199102
