 ia a_1 a_t1
   1.0000000 -99.0000000 -99.0000000
   2.0000000 -97.4032258 -97.4032258
   3.0000000 -95.8064516 -95.8064516
   4.0000000 -94.2096774 -94.2096774
   5.0000000 -92.6129032 -92.6129032
   6.0000000 -91.0161290 -91.0161290
   7.0000000 -89.4193548 -89.4193548
   8.0000000 -87.8225806 -87.8225806
   9.0000000 -86.2258065 -86.2258065
  10.0000000 -84.6290323 -84.6290323
  11.0000000 -83.0322581 -83.0322581
  12.0000000 -81.4354839 -81.4354839
  13.0000000 -79.8387097 -79.8387097
  14.0000000 -78.2419355 -78.2419355
  15.0000000 -76.6451613 -76.6451613
  16.0000000 -75.0483871 -75.0483871
  17.0000000 -73.4516129 -73.4516129
  18.0000000 -71.8548387 -71.8548387
  19.0000000 -70.2580645 -70.2580645
  20.0000000 -68.6612903 -68.6612903
  21.0000000 -67.0645161 -67.0645161
  22.0000000 -65.4677419 -65.4677419
  23.0000000 -63.8709677 -63.8709677
  24.0000000 -62.2741935 -62.2741935
  25.0000000 -60.6774194 -60.6774194
  26.0000000 -59.0806452 -59.0806452
  27.0000000 -57.4838710 -57.4838710
  28.0000000 -55.8870968 -55.8870968
  29.0000000 -54.2903226 -54.2903226
  30.0000000 -52.6935484 -52.6935484
  31.0000000 -51.0967742 -51.0967742
  32.0000000 -49.5000000 -49.5000000
  33.0000000 -47.9032258 -47.9032258
  34.0000000 -46.3064516 -46.3064516
  35.0000000 -44.7096774 -44.7096774
  36.0000000 -43.1129032 -43.1129032
  37.0000000 -41.5161290 -41.5161290
  38.0000000 -39.9193548 -39.9193548
  39.0000000 -38.3225806 -38.3225806
  40.0000000 -36.7258065 -36.7258065
  41.0000000 -35.1290323 -35.1290323
  42.0000000 -33.5322581 -33.5322581
  43.0000000 -31.9354839 -31.9354839
  44.0000000 -30.3387097 -30.3387097
  45.0000000 -28.7419355 -28.7419355
  46.0000000 -27.1451613 -27.1451613
  47.0000000 -25.5483871 -25.5483871
  48.0000000 -23.9516129 -23.9516129
  49.0000000 -22.3548387 -22.3548387
  50.0000000 -20.7580645 -20.7580645
  51.0000000 -19.1612903 -19.1612903
  52.0000000 -17.5645161 -17.5645161
  53.0000000 -15.9677419 -15.9677419
  54.0000000 -14.3709677 -14.3709677
  55.0000000 -12.7741935 -12.7741935
  56.0000000 -11.1774194 -11.1774194
  57.0000000  -9.5806452  -9.5806452
  58.0000000  -7.9838710  -7.9838710
  59.0000000  -6.3870968  -6.3870968
  60.0000000  -4.7903226  -4.7903226
  61.0000000  -3.1935484  -3.1935484
  62.0000000  -1.5967742  -1.5967742
  63.0000000   0.0000000   0.0000000
  64.0000000   0.9217751   0.9217751
  65.0000000   2.6071734   2.6071734
  66.0000000   4.7896835   4.7896835
  67.0000000   7.3742006   7.3742006
  68.0000000  10.3057587  10.3057587
  69.0000000  13.5472711  13.5472711
  70.0000000  17.0715144  17.0715144
  71.0000000  20.8573870  20.8573870
  72.0000000  24.8879274  24.8879274
  73.0000000  29.1490875  29.1490875
  74.0000000  33.6290002  33.6290002
  75.0000000  38.3174680  38.3174680
  76.0000000  43.2055928  43.2055928
  77.0000000  48.2855324  48.2855324
  78.0000000  53.5502929  53.5502929
  79.0000000  58.9936048  58.9936048
  80.0000000  64.6097884  64.6097884
  81.0000000  70.3936838  70.3936838
  82.0000000  76.3405770  76.3405770
  83.0000000  82.4460693  82.4460693
  84.0000000  88.7061775  88.7061775
  85.0000000  95.1171868  95.1171868
  86.0000000 101.6755968 101.6755968
  87.0000000 108.3781689 108.3781689
  88.0000000 115.2218789 115.2218789
  89.0000000 122.2038701 122.2038701
  90.0000000 129.3214604 129.3214604
  91.0000000 136.5721151 136.5721151
  92.0000000 143.9533934 143.9533934
  93.0000000 151.4630958 151.4630958
  94.0000000 159.0990096 159.0990096
  95.0000000 166.8590963 166.8590963
  96.0000000 174.7413978 174.7413978
  97.0000000 182.7440634 182.7440634
  98.0000000 190.8653095 190.8653095
  99.0000000 199.1034195 199.1034195
 100.0000000 207.4567303 207.4567303
 101.0000000 215.9237400 215.9237400
 102.0000000 224.5028660 224.5028660
 103.0000000 233.1927001 233.1927001
 104.0000000 241.9918478 241.9918478
 105.0000000 250.8989543 250.8989543
 106.0000000 259.9127859 259.9127859
 107.0000000 269.0320015 269.0320015
 108.0000000 278.2554746 278.2554746
 109.0000000 287.5820249 287.5820249
 110.0000000 297.0104724 297.0104724
 111.0000000 306.5397441 306.5397441
 112.0000000 316.1688209 316.1688209
 113.0000000 325.8966833 325.8966833
 114.0000000 335.7223392 335.7223392
 115.0000000 345.6447423 345.6447423
 116.0000000 355.6630611 355.6630611
 117.0000000 365.7763302 365.7763302
 118.0000000 375.9836912 375.9836912
 119.0000000 386.2842590 386.2842590
 120.0000000 396.6771752 396.6771752
 121.0000000 407.1617156 407.1617156
 122.0000000 417.7370489 417.7370489
 123.0000000 428.4023434 428.4023434
 124.0000000 439.1569287 439.1569287
 125.0000000 450.0000000 450.0000000
