 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3848169  84.3628683 -21.0760575   2.5517732   1.0458683  10.4358112 -12.2659701   0.3936901
   2.0000000   1.3841981  84.6541309 -21.1626642   2.5294081   1.0506734  10.8985468 -11.4845614   0.4089885
   3.0000000   1.3842876  84.7531959 -21.4051532   2.5267794   1.1310685  11.5221993  -4.8180556   0.4805064
   4.0000000   1.3851968  85.8063690 -21.8017764   2.5636007   1.0843220  14.5064819  -3.7269558   0.6238946
   5.0000000   1.3852409  86.0616246 -21.9679316   2.5785868   1.0690716  14.4191908  -3.3866954   0.6153787
   6.0000000   1.3848486  86.0823586 -22.0692160   2.5868438   1.0621573  14.0122678  -3.4598938   0.5980243
   7.0000000   1.3844309  86.0569605 -22.1513876   2.5929151   1.0631845  13.6943345  -3.2740100   0.5902663
   8.0000000   1.3839669  86.0343865 -22.2228357   2.5977451   1.0595459  13.1753200  -3.6326724   0.5692372
   9.0000000   1.3835351  86.0047376 -22.2746999   2.6010276   1.0430825  12.5019891  -4.3862273   0.5311663
  10.0000000   1.3834177  85.7564302 -22.2614281   2.5971351   1.0412623  12.1571626  -4.9743614   0.5154919
  11.0000000   1.3832682  85.4846119 -22.2563973   2.5927478   1.0449347  11.2515851  -5.6464012   0.4764468
  12.0000000   1.3832572  85.2905013 -22.2507316   2.5902895   1.0483257  10.8941645  -5.8702251   0.4619130
  13.0000000   1.3833321  85.1583711 -22.2449480   2.5890729   1.0458182  10.7410513  -6.1920317   0.4522243
  14.0000000   1.3833856  85.0192792 -22.2334747   2.5872303   1.0442005  10.6528916  -6.8874807   0.4438103
  15.0000000   1.3833764  84.8685893 -22.2169021   2.5843373   1.0425424  10.3510654  -7.6121147   0.4235362
  16.0000000   1.3833369  84.7138595 -22.1947628   2.5809654   1.0379947  10.0738633  -8.4672041   0.4023808
  17.0000000   1.3832898  84.5433716 -22.1636416   2.5769852   1.0385682   9.8279232  -9.6098887   0.3864305
  18.0000000   1.3833128  84.4047045 -22.1345804   2.5737145   1.0419649   9.5797046 -10.1889298   0.3733113
  19.0000000   1.3834327  84.3218402 -22.1106838   2.5718842   1.0443553   9.5055280 -10.5910387   0.3675223
  20.0000000   1.3835392  84.2599819 -22.0868800   2.5708104   1.0488643   9.6380271 -10.4958070   0.3752085
  21.0000000   1.3838039  84.2760770 -22.0708460   2.5717326   1.0413536   9.9386003 -10.8125331   0.3829711
  22.0000000   1.3838653  84.1993775 -22.0364731   2.5695841   1.0492194   9.9273339 -10.6117567   0.3851024
  23.0000000   1.3840073  84.1996911 -22.0161125   2.5697058   1.0449147  10.0927790 -10.9165415   0.3906696
  24.0000000   1.3841247  84.1703477 -21.9871579   2.5688919   1.0445311  10.1234200 -11.0240942   0.3915341
  25.0000000   1.3842763  84.1527960 -21.9571527   2.5683059   1.0447199  10.1000913 -11.1829451   0.3896748
  26.0000000   1.3843532  84.1238284 -21.9261272   2.5673098   1.0451046  10.1020874 -11.2351270   0.3890005
  27.0000000   1.3844528  84.1075157 -21.8959867   2.5665926   1.0454416  10.0969523 -11.4046522   0.3876184
  28.0000000   1.3845289  84.0914876 -21.8658177   2.5658564   1.0449875  10.0840227 -11.4923626   0.3869726
  29.0000000   1.3846315  84.0840485 -21.8346901   2.5654266   1.0435356  10.2150479 -11.4932368   0.3916762
  30.0000000   1.3847043  84.0625284 -21.8021185   2.5644729   1.0441975  10.2018882 -11.8737708   0.3901580
  31.0000000   1.3847826  84.0507674 -21.7704375   2.5638169   1.0444652  10.2735429 -11.8623885   0.3913783
  32.0000000   1.3848469  84.0396438 -21.7382820   2.5631183   1.0446722  10.1610501 -12.0682495   0.3876925
  33.0000000   1.3848085  84.0075113 -21.7053988   2.5617908   1.0445551  10.0572742 -12.1709274   0.3832961
  34.0000000   1.3848141  83.9882164 -21.6738941   2.5608139   1.0442998  10.0457353 -12.1771925   0.3817099
  35.0000000   1.3848555  83.9779543 -21.6438104   2.5601224   1.0446040  10.0311971 -12.2092123   0.3807509
  36.0000000   1.3848858  83.9677671 -21.6155131   2.5594681   1.0447749   9.9607004 -12.2847980   0.3782017
  37.0000000   1.3849335  83.9646325 -21.5875084   2.5590074   1.0439084   9.9524508 -12.3553641   0.3777096
  38.0000000   1.3850116  83.9670128 -21.5555517   2.5587062   1.0448467   9.9693528 -12.3092049   0.3782598
  39.0000000   1.3850480  83.9665479 -21.5252641   2.5583355   1.0447242   9.9853857 -12.3112195   0.3788339
  40.0000000   1.3850740  83.9639394 -21.4959161   2.5578680   1.0448031   9.9827363 -12.3237822   0.3786076
  41.0000000   1.3850940  83.9615423 -21.4678437   2.5574404   1.0446452   9.9663231 -12.3600389   0.3778383
  42.0000000   1.3851024  83.9552767 -21.4415785   2.5569138   1.0448062   9.9268703 -12.3871811   0.3762694
  43.0000000   1.3851285  83.9570792 -21.4149658   2.5566162   1.0448976   9.9317805 -12.3899164   0.3763552
  44.0000000   1.3851461  83.9579806 -21.3897646   2.5563038   1.0448077   9.9425578 -12.3941978   0.3767119
  45.0000000   1.3851560  83.9566508 -21.3647975   2.5559144   1.0446923   9.9196626 -12.4240949   0.3758179
