 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3142944 142.4499845 -36.8144117   5.4269029   0.9122527  14.6421028  -7.5652887   1.9014675
   2.0000000   1.2409494 144.5719597 -37.7326065   5.9259570   0.9501781  13.7289870 -35.6515984   1.8040397
   3.0000000   1.2360094 146.3547672 -39.0548548   5.8269298   1.0539478  11.7697733 -15.4284090   1.8480383
   4.0000000   1.2329898 152.0102187 -40.9669713   5.8994020   1.0098438  16.7137232 -17.6020074   2.0429346
   5.0000000   1.2291132 155.7073989 -42.3414224   5.9250628   0.9704425  20.2451568 -21.8321652   2.1507699
   6.0000000   1.2251884 158.5694845 -43.4077852   5.9506979   0.9531369  21.4287844 -24.5573721   2.1611698
   7.0000000   1.2212560 161.1518277 -44.3078228   5.9449081   0.9418685  22.1643200 -28.4877733   2.1472224
   8.0000000   1.2175394 163.7724472 -45.0134918   5.9631468   0.9221394  22.6697622 -33.1536194   2.1197409
   9.0000000   1.2399027 165.2163051 -45.1253590   6.0060424   0.8962534  18.0530616 -17.6563087   2.0068268
  10.0000000   1.2684541 164.9633114 -44.8494262   6.0275654   0.8885833  16.2715772 -11.2866900   1.9671670
  11.0000000   1.2998710 162.9193940 -44.2422351   6.0018338   0.8884885  15.4144504  -8.0008545   1.9483973
  12.0000000   1.3151707 160.0119031 -43.6307541   5.9375306   0.8913777  15.1816393  -6.8928314   1.9450521
  13.0000000   1.3217750 157.1289237 -43.0964831   5.8656272   0.8949078  15.1825892  -6.3420161   1.9473404
  14.0000000   1.3299396 154.3879469 -42.5669804   5.7985317   0.8968157  15.1781081  -5.8197728   1.9481952
  15.0000000   1.3297330 151.9524308 -42.1473486   5.7306844   0.8985431  15.2084939  -5.8017599   1.9478097
  16.0000000   1.3308857 149.7773407 -41.7306483   5.6711333   0.9007067  15.1666027  -5.7440976   1.9452397
  17.0000000   1.3279014 147.9895179 -41.3982459   5.6182051   0.9028930  15.1730915  -5.8917510   1.9440778
  18.0000000   1.3303121 146.4562752 -41.0430836   5.5771080   0.9043546  15.0630374  -5.8330804   1.9381472
  19.0000000   1.3280883 145.1873024 -40.7768325   5.5391708   0.9069997  15.0159952  -5.9848547   1.9348968
  20.0000000   1.3327005 144.0675974 -40.4715319   5.5134459   0.9096616  15.0720732  -5.5692845   1.9380900
  21.0000000   1.3328533 143.2170911 -40.2731710   5.4891789   0.9082463  15.1714634  -5.6080465   1.9401362
  22.0000000   1.3353789 142.2203992 -40.0141231   5.4635523   0.9096114  15.0839510  -5.5315112   1.9355645
  23.0000000   1.3330963 141.4289690 -39.8380181   5.4393823   0.9111526  15.1288202  -5.6386827   1.9364168
  24.0000000   1.3320845 140.8156107 -39.6756700   5.4210439   0.9112386  15.1108916  -5.7753267   1.9342392
  25.0000000   1.3358885 140.1270818 -39.4527619   5.4053875   0.9116397  14.9484110  -5.6919259   1.9268508
  26.0000000   1.3331950 139.5692502 -39.3250133   5.3876213   0.9131242  14.9133616  -5.8939754   1.9243582
  27.0000000   1.3349261 139.1121973 -39.1720954   5.3775898   0.9135259  14.9596494  -5.7537050   1.9266688
  28.0000000   1.3337107 138.7303311 -39.0611343   5.3663562   0.9134105  14.9869287  -5.8607242   1.9269308
  29.0000000   1.3294976 138.4951482 -38.9952196   5.3564780   0.9153961  14.9884545  -6.1285228   1.9260375
  30.0000000   1.3305882 138.3713731 -38.9013047   5.3548095   0.9152774  14.9547129  -6.1121422   1.9242657
  31.0000000   1.3317979 138.2127322 -38.8031364   5.3514264   0.9136460  14.8443703  -6.2368890   1.9186758
  32.0000000   1.3284232 138.0240892 -38.7239618   5.3434785   0.9160492  14.7132046  -6.5240629   1.9127336
  33.0000000   1.3316135 137.9279074 -38.6073613   5.3442862   0.9145510  14.6344413  -6.4241750   1.9089323
  34.0000000   1.3306481 137.7680862 -38.5194077   5.3394130   0.9139746  14.6130597  -6.5484654   1.9067224
  35.0000000   1.3298965 137.6242336 -38.4231228   5.3352685   0.9137492  14.6156389  -6.6181070   1.9060039
  36.0000000   1.3279465 137.5404213 -38.3403469   5.3317608   0.9147557  14.6125574  -6.7397233   1.9053113
  37.0000000   1.3288090 137.5094349 -38.2390473   5.3325897   0.9149376  14.6413504  -6.6360351   1.9066366
  38.0000000   1.3279799 137.5288385 -38.1621912   5.3326280   0.9150389  14.6239677  -6.7311377   1.9054868
  39.0000000   1.3269831 137.5788599 -38.0848321   5.3333214   0.9152440  14.6107463  -6.8247206   1.9044837
  40.0000000   1.3262170 137.6642899 -38.0084635   5.3350650   0.9152462  14.5868564  -6.9187770   1.9031885
  41.0000000   1.3244614 137.7908516 -37.9434063   5.3370400   0.9158114  14.5650486  -7.0611300   1.9019738
  42.0000000   1.3240829 137.9677081 -37.8729699   5.3415988   0.9155026  14.5562026  -7.1121819   1.9012956
  43.0000000   1.3249718 138.1002495 -37.7816209   5.3460256   0.9148112  14.5440761  -7.0669111   1.9006877
  44.0000000   1.3246292 138.1993622 -37.6967107   5.3483362   0.9145095  14.5571268  -7.0884614   1.9010570
  45.0000000   1.3236668 138.3126436 -37.6150141   5.3503437   0.9147308  14.5628899  -7.1517621   1.9010546
  46.0000000   1.3229596 138.4516959 -37.5402041   5.3533176   0.9147024  14.5675727  -7.2022589   1.9010103
  47.0000000   1.3226260 138.5990746 -37.4588749   5.3567235   0.9145286  14.5682508  -7.2277118   1.9008689
  48.0000000   1.3218805 138.7530498 -37.3827108   5.3598745   0.9145222  14.5721255  -7.2808015   1.9008185
  49.0000000   1.3214338 138.9140378 -37.3062838   5.3634561   0.9144691  14.5669906  -7.3151547   1.9004705
  50.0000000   1.3212129 139.0746699 -37.2287965   5.3671561   0.9141801  14.5712745  -7.3321991   1.9005229
  51.0000000   1.3206526 139.2273196 -37.1526676   5.3702631   0.9141535  14.5713729  -7.3699469   1.9003993
  52.0000000   1.3201781 139.3857543 -37.0791854   5.3735935   0.9140740  14.5712411  -7.4019988   1.9002827
  53.0000000   1.3197494 139.5458613 -37.0078445   5.3769844   0.9139668  14.5723697  -7.4310592   1.9002110
  54.0000000   1.3194186 139.7024281 -36.9376175   5.3803511   0.9138353  14.5729733  -7.4514654   1.9001454
  55.0000000   1.3190875 139.8537959 -36.8694639   5.3835404   0.9136138  14.5761957  -7.4732679   1.9001794
  56.0000000   1.3187948 139.9949346 -36.8014240   5.3864570   0.9135912  14.5692489  -7.4919836   1.8998117
  57.0000000   1.3185122 140.1347312 -36.7362080   5.3893604   0.9134675  14.5715980  -7.5060555   1.8998567
  58.0000000   1.3182603 140.2691175 -36.6718696   5.3921106   0.9133782  14.5712328  -7.5188338   1.8997889
  59.0000000   1.3180129 140.3983906 -36.6103169   5.3947377   0.9132737  14.5727456  -7.5297473   1.8998069
  60.0000000   1.3177757 140.5211105 -36.5513985   5.3971999   0.9131878  14.5741228  -7.5399367   1.8998216
  61.0000000   1.3175499 140.6389244 -36.4946418   5.3995419   0.9131052  14.5757501  -7.5489474   1.8998505
  62.0000000   1.3173199 140.7526944 -36.4399606   5.4017617   0.9130349  14.5774987  -7.5580180   1.8998841
  63.0000000   1.3170973 140.8622849 -36.3882885   5.4038833   0.9129715  14.5789158  -7.5666240   1.8999128
  64.0000000   1.3169646 140.9647347 -36.3388791   5.4059199   0.9128815  14.5795954  -7.5688687   1.8999231
  65.0000000   1.3170684 141.0547363 -36.2871261   5.4078025   0.9127242  14.5786789  -7.5531506   1.8998963
  66.0000000   1.3168126 141.1391174 -36.2385325   5.4091970   0.9127310  14.5819141  -7.5618449   1.9000042
  67.0000000   1.3166538 141.2193466 -36.1960299   5.4106455   0.9126964  14.5835246  -7.5651598   1.9000481
  68.0000000   1.3165270 141.2954773 -36.1561763   5.4120321   0.9126467  14.5852876  -7.5661752   1.9001018
