 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3142944 142.4499845 -36.8144117   5.4269029   0.9122527  14.6421028  -7.5652887   1.9014675
   2.0000000   1.2409494 144.5719597 -37.7326065   5.3403903   0.9898870  17.2119729 -24.2289231   1.9318374
   3.0000000   1.2373378 147.9020803 -38.7785490   5.4100192   0.9753247  17.0378770 -27.4447397   1.8958599
   4.0000000   1.2645780 150.0127166 -39.1772508   5.5064907   0.9178576  15.2749061 -14.7688737   1.8823946
   5.0000000   1.2869012 150.3528066 -39.3345307   5.5539701   0.9060285  14.6064994 -10.6981938   1.8784468
   6.0000000   1.3008344 149.7608684 -39.4144011   5.5669451   0.9036412  14.4782552  -8.9830044   1.8843095
   7.0000000   1.3105003 148.7501253 -39.4385156   5.5626879   0.9029502  14.5113116  -7.9856609   1.8922560
   8.0000000   1.3159641 147.5453402 -39.4452067   5.5474400   0.9045971  14.4459145  -7.5222945   1.8939163
   9.0000000   1.3190180 146.4223617 -39.4478944   5.5305360   0.9039346  14.6071815  -7.1915119   1.9024895
  10.0000000   1.3206910 145.2832654 -39.4139953   5.5100114   0.9045193  14.6823981  -6.9946283   1.9069091
  11.0000000   1.3213278 144.2490789 -39.3534494   5.4896538   0.9055162  14.7216799  -6.9010182   1.9092355
  12.0000000   1.3218051 143.3452901 -39.2802170   5.4712498   0.9065668  14.7307487  -6.8415850   1.9100754
  13.0000000   1.3220932 142.5702356 -39.1947736   5.4549590   0.9076101  14.7182894  -6.8197624   1.9098530
  14.0000000   1.3224024 141.9183477 -39.1008455   5.4410397   0.9085322  14.7072519  -6.8019464   1.9095706
  15.0000000   1.3225481 141.3726710 -38.9958011   5.4289108   0.9093758  14.6913812  -6.8031411   1.9089925
  16.0000000   1.3226712 140.9222064 -38.8845740   5.4186218   0.9100963  14.6755888  -6.8100105   1.9083467
  17.0000000   1.3227001 140.5555515 -38.7695419   5.4099158   0.9107367  14.6620715  -6.8235923   1.9077289
  18.0000000   1.3226894 140.2609112 -38.6525976   5.4026370   0.9112621  14.6564842  -6.8368092   1.9073696
  19.0000000   1.3227090 140.0184725 -38.5349932   5.3964098   0.9116859  14.6420334  -6.8548420   1.9066397
  20.0000000   1.3226533 139.8336949 -38.4109439   5.3913362   0.9120667  14.6328465  -6.8762726   1.9060977
  21.0000000   1.3224662 139.6930201 -38.2933966   5.3871898   0.9124135  14.6268054  -6.9062631   1.9056401
  22.0000000   1.3223189 139.5934438 -38.1775720   5.3840114   0.9126811  14.6205202  -6.9332433   1.9051811
  23.0000000   1.3221796 139.5264060 -38.0643693   5.3815882   0.9128943  14.6172618  -6.9568368   1.9047866
  24.0000000   1.3220448 139.4863189 -37.9520564   5.3797888   0.9130582  14.6128362  -6.9822882   1.9043795
  25.0000000   1.3220636 139.4634111 -37.8416362   5.3785394   0.9131389  14.6074234  -6.9961801   1.9039705
  26.0000000   1.3217867 139.4572931 -37.7368824   5.3774523   0.9132926  14.6061754  -7.0269908   1.9036905
  27.0000000   1.3215165 139.4703758 -37.6400935   5.3769286   0.9134095  14.6051958  -7.0558089   1.9034222
  28.0000000   1.3212475 139.4972461 -37.5507774   5.3768229   0.9134873  14.6041517  -7.0864961   1.9031554
  29.0000000   1.3209153 139.5431929 -37.4627839   5.3771274   0.9135583  14.6049344  -7.1184625   1.9029344
  30.0000000   1.3206767 139.5992245 -37.3813830   5.3778042   0.9135839  14.6049616  -7.1439883   1.9027198
  31.0000000   1.3203474 139.6627363 -37.3052271   5.3786431   0.9136290  14.6030110  -7.1745756   1.9024846
  32.0000000   1.3201446 139.7288450 -37.2347528   5.3797254   0.9135891  14.6000659  -7.2004668   1.9022031
  33.0000000   1.3198396 139.8083726 -37.1631519   5.3809731   0.9135964  14.5990065  -7.2300737   1.9020056
  34.0000000   1.3195628 139.8935203 -37.0947853   5.3824292   0.9135802  14.5982396  -7.2556198   1.9018267
  35.0000000   1.3193233 139.9786031 -37.0340652   5.3839866   0.9135406  14.5983639  -7.2782497   1.9016797
  36.0000000   1.3190553 140.0685069 -36.9741782   5.3856182   0.9135109  14.5992999  -7.3010025   1.9015559
  37.0000000   1.3188110 140.1594953 -36.9189740   5.3873316   0.9134729  14.5990361  -7.3214083   1.9014352
  38.0000000   1.3185967 140.2494336 -36.8673308   5.3890569   0.9134128  14.5997358  -7.3404532   1.9013346
  39.0000000   1.3183300 140.3409502 -36.8183714   5.3907804   0.9133851  14.5997097  -7.3607488   1.9012455
  40.0000000   1.3181147 140.4310056 -36.7728739   5.3925418   0.9133246  14.6003646  -7.3788742   1.9011675
  41.0000000   1.3179135 140.5221437 -36.7270216   5.3942967   0.9132672  14.6003980  -7.3939435   1.9010847
  42.0000000   1.3177049 140.6112595 -36.6855257   5.3960143   0.9132165  14.6014226  -7.4089665   1.9010301
  43.0000000   1.3174972 140.6985245 -36.6472272   5.3977021   0.9131646  14.6022992  -7.4239903   1.9009802
  44.0000000   1.3173295 140.7822592 -36.6111407   5.3993576   0.9131025  14.6028960  -7.4356708   1.9009322
  45.0000000   1.3171385 140.8649649 -36.5761346   5.4009559   0.9130568  14.6045641  -7.4474806   1.9009201
  46.0000000   1.3169631 140.9432771 -36.5448824   5.4024979   0.9130073  14.6050325  -7.4579641   1.9008825
  47.0000000   1.3167750 141.0207204 -36.5151457   5.4039972   0.9129665  14.6055786  -7.4706219   1.9008589
  48.0000000   1.3166328 141.0945319 -36.4883964   5.4054624   0.9129066  14.6060372  -7.4796254   1.9008269
  49.0000000   1.3164941 141.1689304 -36.4594862   5.4068797   0.9128573  14.6066454  -7.4874788   1.9008071
  50.0000000   1.3164133 141.2382650 -36.4318954   5.4082338   0.9127938  14.6066938  -7.4909356   1.9007793
  51.0000000   1.3162077 141.3047333 -36.4084987   5.4094280   0.9127808  14.6084313  -7.5033026   1.9008010
  52.0000000   1.3160902 141.3708387 -36.3856417   5.4106921   0.9127372  14.6087832  -7.5090898   1.9007890
  53.0000000   1.3159716 141.4337636 -36.3641731   5.4118781   0.9126978  14.6091614  -7.5152742   1.9007819
  54.0000000   1.3158628 141.4941278 -36.3437215   5.4130055   0.9126586  14.6100681  -7.5203369   1.9007873
  55.0000000   1.3157438 141.5518492 -36.3250014   5.4140661   0.9126277  14.6107142  -7.5261659   1.9007882
  56.0000000   1.3157336 141.6038513 -36.3078930   5.4151005   0.9125632  14.6104489  -7.5241559   1.9007708
  57.0000000   1.3156397 141.6527657 -36.2912281   5.4159532   0.9125429  14.6112154  -7.5270878   1.9007883
  58.0000000   1.3155540 141.7005216 -36.2749111   5.4167832   0.9125194  14.6128964  -7.5288457   1.9008230
  59.0000000   1.3154906 141.7448146 -36.2610766   5.4175647   0.9124889  14.6136505  -7.5307504   1.9008372
  60.0000000   1.3154217 141.7868208 -36.2478668   5.4182865   0.9124676  14.6143550  -7.5322844   1.9008540
  61.0000000   1.3152968 141.8273386 -36.2376167   5.4189432   0.9124662  14.6155817  -7.5386900   1.9008811
  62.0000000   1.3152460 141.8674591 -36.2270319   5.4196525   0.9124384  14.6158279  -7.5397531   1.9008808
  63.0000000   1.3151908 141.9044108 -36.2183713   5.4202935   0.9124165  14.6163972  -7.5411300   1.9008910
  64.0000000   1.3151583 141.9385575 -36.2104898   5.4208850   0.9123916  14.6167237  -7.5407084   1.9008973
  65.0000000   1.3150946 141.9718267 -36.2022463   5.4214163   0.9123819  14.6175468  -7.5424459   1.9009171
  66.0000000   1.3150753 142.0017636 -36.1958192   5.4219252   0.9123580  14.6179567  -7.5409968   1.9009278
  67.0000000   1.3150348 142.0315581 -36.1880184   5.4223809   0.9123459  14.6186951  -7.5410750   1.9009472
  68.0000000   1.3150067 142.0578121 -36.1828270   5.4227941   0.9123328  14.6190472  -7.5403186   1.9009617
  69.0000000   1.3149819 142.0812652 -36.1788614   5.4231594   0.9123195  14.6195419  -7.5394287   1.9009776
  70.0000000   1.3149577 142.1027282 -36.1758342   5.4234813   0.9123090  14.6201953  -7.5384917   1.9009968
  71.0000000   1.3149406 142.1223176 -36.1734356   5.4237691   0.9122979  14.6208661  -7.5371611   1.9010159
  72.0000000   1.3149188 142.1399176 -36.1719553   5.4240168   0.9122920  14.6213515  -7.5362282   1.9010340
  73.0000000   1.3148967 142.1560225 -36.1715040   5.4242355   0.9122860  14.6219562  -7.5354674   1.9010516
  74.0000000   1.3148714 142.1710167 -36.1718931   5.4244324   0.9122860  14.6221528  -7.5347461   1.9010648
  75.0000000   1.3148533 142.1848179 -36.1727941   5.4246124   0.9122784  14.6227366  -7.5343432   1.9010779
  76.0000000   1.3148323 142.1978810 -36.1742251   5.4247716   0.9122763  14.6233553  -7.5336572   1.9010937
  77.0000000   1.3148193 142.2105563 -36.1756241   5.4249285   0.9122717  14.6240677  -7.5325053   1.9011086
  78.0000000   1.3148043 142.2223509 -36.1773862   5.4250658   0.9122694  14.6247351  -7.5315848   1.9011240
  79.0000000   1.3147922 142.2331963 -36.1796226   5.4251902   0.9122669  14.6253000  -7.5305928   1.9011379
  80.0000000   1.3147794 142.2432068 -36.1823367   5.4252970   0.9122654  14.6258433  -7.5297660   1.9011514
  81.0000000   1.3147762 142.2518956 -36.1857030   5.4253899   0.9122611  14.6262358  -7.5283793   1.9011623
  82.0000000   1.3147622 142.2601969 -36.1891254   5.4254624   0.9122620  14.6267535  -7.5277932   1.9011761
  83.0000000   1.3147541 142.2675124 -36.1932194   5.4255275   0.9122618  14.6284782  -7.5250922   1.9012183
  84.0000000   1.3147464 142.2735947 -36.1981018   5.4255735   0.9122604  14.6289329  -7.5242733   1.9012300
  85.0000000   1.3147395 142.2791721 -36.2033404   5.4256110   0.9122596  14.6293675  -7.5234321   1.9012410
