 k a mass
   0.0000000 -99.0000000   0.0000000
   0.0000000 -49.5000000   0.0000000
   0.0000000   0.0000000   0.0423617
   0.0000000 141.4213538   0.0000000
   0.0000000 400.0000000   0.0000000
   0.0501881 -99.0000000   0.0000000
   0.0501881 -49.5000000   0.0000000
   0.0501881   0.0000000   0.0000000
   0.0501881 141.4213538   0.0000000
   0.0501881 400.0000000   0.0000000
   0.1419533 -99.0000000   0.0000000
   0.1419533 -49.5000000   0.0000000
   0.1419533   0.0000000   0.0000000
   0.1419533 141.4213538   0.0000000
   0.1419533 400.0000000   0.0000000
   0.2607850 -99.0000000   0.0000000
   0.2607850 -49.5000000   0.0000000
   0.2607850   0.0000000   0.0000000
   0.2607850 141.4213538   0.0000000
   0.2607850 400.0000000   0.0000000
   0.4015047 -99.0000000   0.0000000
   0.4015047 -49.5000000   0.0000000
   0.4015047   0.0000000   0.0000000
   0.4015047 141.4213538   0.0000000
   0.4015047 400.0000000   0.0000000
   0.5611199 -99.0000000   0.0000000
   0.5611199 -49.5000000   0.0000000
   0.5611199   0.0000000   0.0000000
   0.5611199 141.4213538   0.0000000
   0.5611199 400.0000000   0.0000000
   0.7376112 -99.0000000   0.0000000
   0.7376112 -49.5000000   0.0000000
   0.7376112   0.0000000   0.0000000
   0.7376112 141.4213538   0.0000000
   0.7376112 400.0000000   0.0000000
   0.9294964 -99.0000000   0.0000000
   0.9294964 -49.5000000   0.0000000
   0.9294964   0.0000000   0.0000000
   0.9294964 141.4213538   0.0000000
   0.9294964 400.0000000   0.0000000
   1.1356268 -99.0000000   0.0000000
   1.1356268 -49.5000000   0.0000000
   1.1356268   0.0000000   0.0000000
   1.1356268 141.4213538   0.0000000
   1.1356268 400.0000000   0.0000000
   1.3550784 -99.0000000   0.0000000
   1.3550784 -49.5000000   0.0000000
   1.3550784   0.0000000   0.0000000
   1.3550784 141.4213538   0.0000000
   1.3550784 400.0000000   0.0000000
   1.5870867 -99.0000000   0.0000000
   1.5870867 -49.5000000   0.0000000
   1.5870867   0.0000000   0.0000000
   1.5870867 141.4213538   0.0000000
   1.5870867 400.0000000   0.0000000
   1.8310056 -99.0000000   0.0000000
   1.8310056 -49.5000000   0.0000000
   1.8310056   0.0000000   0.0000000
   1.8310056 141.4213538   0.0000000
   1.8310056 400.0000000   0.0000000
   2.0862796 -99.0000000   0.0000000
   2.0862796 -49.5000000   0.0000000
   2.0862796   0.0000000   0.0000000
   2.0862796 141.4213538   0.0000000
   2.0862796 400.0000000   0.0000000
   2.3524244 -99.0000000   0.0000000
   2.3524244 -49.5000000   0.0000000
   2.3524244   0.0000000   0.0000000
   2.3524244 141.4213538   0.0000000
   2.3524244 400.0000000   0.0000000
   2.6290128 -99.0000000   0.0000000
   2.6290128 -49.5000000   0.0000000
   2.6290128   0.0000000   0.0000000
   2.6290128 141.4213538   0.0000000
   2.6290128 400.0000000   0.0000000
   2.9156644 -99.0000000   0.0000000
   2.9156644 -49.5000000   0.0000000
   2.9156644   0.0000000   0.0000000
   2.9156644 141.4213538   0.0000000
   2.9156644 400.0000000   0.0000000
   3.2120376 -99.0000000   0.0000000
   3.2120376 -49.5000000   0.0000000
   3.2120376   0.0000000   0.0000000
   3.2120376 141.4213538   0.0000000
   3.2120376 400.0000000   0.0000000
   3.5178234 -99.0000000   0.0000000
   3.5178234 -49.5000000   0.0000000
   3.5178234   0.0000000   0.0000000
   3.5178234 141.4213538   0.0000000
   3.5178234 400.0000000   0.0000000
   3.8327404 -99.0000000   0.0000000
   3.8327404 -49.5000000   0.0000000
   3.8327404   0.0000000   0.0000000
   3.8327404 141.4213538   0.0000000
   3.8327404 400.0000000   0.0000000
   4.1565312 -99.0000000   0.0000000
   4.1565312 -49.5000000   0.0000000
   4.1565312   0.0000000   0.0000000
   4.1565312 141.4213538   0.0000000
   4.1565312 400.0000000   0.0000000
   4.4889590 -99.0000000   0.0000000
   4.4889590 -49.5000000   0.0000000
   4.4889590   0.0000000   0.0000000
   4.4889590 141.4213538   0.0000000
   4.4889590 400.0000000   0.0000000
   4.8298049 -99.0000000   0.0000000
   4.8298049 -49.5000000   0.0000000
   4.8298049   0.0000000   0.0000000
   4.8298049 141.4213538   0.0000000
   4.8298049 400.0000000   0.0000000
   5.1788659 -99.0000000   0.0000000
   5.1788659 -49.5000000   0.0000000
   5.1788659   0.0000000   0.0000000
   5.1788659 141.4213538   0.0000000
   5.1788659 400.0000000   0.0000000
   5.5359531 -99.0000000   0.0000000
   5.5359531 -49.5000000   0.0000000
   5.5359531   0.0000000   0.0000000
   5.5359531 141.4213538   0.0000000
   5.5359531 400.0000000   0.0000000
   5.9008899 -99.0000000   0.0000000
   5.9008899 -49.5000000   0.0000000
   5.9008899   0.0000000   0.0000000
   5.9008899 141.4213538   0.0000000
   5.9008899 400.0000000   0.0000000
   6.2735110 -99.0000000   0.0000000
   6.2735110 -49.5000000   0.0000000
   6.2735110   0.0000000   0.0000000
   6.2735110 141.4213538   0.0000000
   6.2735110 400.0000000   0.0000000
   6.6536610 -99.0000000   0.0000000
   6.6536610 -49.5000000   0.0000000
   6.6536610   0.0000000   0.0000000
   6.6536610 141.4213538   0.0000000
   6.6536610 400.0000000   0.0000000
   7.0411937 -99.0000000   0.0000000
   7.0411937 -49.5000000   0.0000000
   7.0411937   0.0000000   0.0000000
   7.0411937 141.4213538   0.0000000
   7.0411937 400.0000000   0.0000000
   7.4359711 -99.0000000   0.0000000
   7.4359711 -49.5000000   0.0000000
   7.4359711   0.0000000   0.0000000
   7.4359711 141.4213538   0.0000000
   7.4359711 400.0000000   0.0000000
   7.8378626 -99.0000000   0.0000000
   7.8378626 -49.5000000   0.0000000
   7.8378626   0.0000000   0.0000000
   7.8378626 141.4213538   0.0000000
   7.8378626 400.0000000   0.0000000
   8.2467443 -99.0000000   0.0000000
   8.2467443 -49.5000000   0.0000000
   8.2467443   0.0000000   0.0000000
   8.2467443 141.4213538   0.0000000
   8.2467443 400.0000000   0.0000000
   8.6624988 -99.0000000   0.0000000
   8.6624988 -49.5000000   0.0000000
   8.6624988   0.0000000   0.0000000
   8.6624988 141.4213538   0.0000000
   8.6624988 400.0000000   0.0000000
   9.0850143 -99.0000000   0.0000000
   9.0850143 -49.5000000   0.0000000
   9.0850143   0.0000000   0.0000000
   9.0850143 141.4213538   0.0000000
   9.0850143 400.0000000   0.0000000
   9.5141842 -99.0000000   0.0000000
   9.5141842 -49.5000000   0.0000000
   9.5141842   0.0000000   0.0000000
   9.5141842 141.4213538   0.0000000
   9.5141842 400.0000000   0.0000000
   9.9499070 -99.0000000   0.0000000
   9.9499070 -49.5000000   0.0000000
   9.9499070   0.0000000   0.0000000
   9.9499070 141.4213538   0.0000000
   9.9499070 400.0000000   0.0000000
  10.3920856 -99.0000000   0.0000000
  10.3920856 -49.5000000   0.0000000
  10.3920856   0.0000000   0.0000000
  10.3920856 141.4213538   0.0000000
  10.3920856 400.0000000   0.0000000
  10.8406269 -99.0000000   0.0000000
  10.8406269 -49.5000000   0.0000000
  10.8406269   0.0000000   0.0000000
  10.8406269 141.4213538   0.0000000
  10.8406269 400.0000000   0.0000000
  11.2954421 -99.0000000   0.0000000
  11.2954421 -49.5000000   0.0000000
  11.2954421   0.0000000   0.0000000
  11.2954421 141.4213538   0.0000000
  11.2954421 400.0000000   0.0000000
  11.7564457 -99.0000000   0.0000000
  11.7564457 -49.5000000   0.0000000
  11.7564457   0.0000000   0.0000000
  11.7564457 141.4213538   0.0000000
  11.7564457 400.0000000   0.0000000
  12.2235558 -99.0000000   0.0000000
  12.2235558 -49.5000000   0.0000000
  12.2235558   0.0000000   0.0000000
  12.2235558 141.4213538   0.0000000
  12.2235558 400.0000000   0.0000000
  12.6966935 -99.0000000   0.0000000
  12.6966935 -49.5000000   0.0000000
  12.6966935   0.0000000   0.0000000
  12.6966935 141.4213538   0.0000000
  12.6966935 400.0000000   0.0000000
  13.1757830 -99.0000000   0.0000000
  13.1757830 -49.5000000   0.0000000
  13.1757830   0.0000000   0.0000000
  13.1757830 141.4213538   0.0000000
  13.1757830 400.0000000   0.0000000
  13.4831040 -99.0000000   0.0000000
  13.4831040 -49.5000000   0.0000000
  13.4831040   0.0000000   0.0431547
  13.4831040 141.4213538   0.0000000
  13.4831040 400.0000000   0.0000000
  14.1515279 -99.0000000   0.0000000
  14.1515279 -49.5000000   0.0000000
  14.1515279   0.0000000   0.0000000
  14.1515279 141.4213538   0.0000000
  14.1515279 400.0000000   0.0000000
  14.6480449 -99.0000000   0.0000000
  14.6480449 -49.5000000   0.0000000
  14.6480449   0.0000000   0.0000000
  14.6480449 141.4213538   0.0000000
  14.6480449 400.0000000   0.0000000
  15.1502367 -99.0000000   0.0000000
  15.1502367 -49.5000000   0.0000000
  15.1502367   0.0000000   0.0000000
  15.1502367 141.4213538   0.0000000
  15.1502367 400.0000000   0.0000000
  15.6580399 -99.0000000   0.0000000
  15.6580399 -49.5000000   0.0000000
  15.6580399   0.0000000   0.0000000
  15.6580399 141.4213538   0.0000000
  15.6580399 400.0000000   0.0000000
  16.1713931 -99.0000000   0.0000000
  16.1713931 -49.5000000   0.0000000
  16.1713931   0.0000000   0.0000000
  16.1713931 141.4213538   0.0000000
  16.1713931 400.0000000   0.0000000
  16.6902370 -99.0000000   0.0000000
  16.6902370 -49.5000000   0.0000000
  16.6902370   0.0000000   0.0000000
  16.6902370 141.4213538   0.0000000
  16.6902370 400.0000000   0.0000000
  17.2145141 -99.0000000   0.0000000
  17.2145141 -49.5000000   0.0000000
  17.2145141   0.0000000   0.0000000
  17.2145141 141.4213538   0.0000000
  17.2145141 400.0000000   0.0000000
  17.7441686 -99.0000000   0.0000000
  17.7441686 -49.5000000   0.0000000
  17.7441686   0.0000000   0.0000000
  17.7441686 141.4213538   0.0000000
  17.7441686 400.0000000   0.0000000
  18.2791464 -99.0000000   0.0000000
  18.2791464 -49.5000000   0.0000000
  18.2791464   0.0000000   0.0000000
  18.2791464 141.4213538   0.0000000
  18.2791464 400.0000000   0.0000000
  18.8193952 -99.0000000   0.0000000
  18.8193952 -49.5000000   0.0000000
  18.8193952   0.0000000   0.0000000
  18.8193952 141.4213538   0.0000000
  18.8193952 400.0000000   0.0000000
  19.3648640 -99.0000000   0.0000000
  19.3648640 -49.5000000   0.0000000
  19.3648640   0.0000000   0.0000000
  19.3648640 141.4213538   0.0000000
  19.3648640 400.0000000   0.0000000
  19.9155034 -99.0000000   0.0000000
  19.9155034 -49.5000000   0.0000000
  19.9155034   0.0000000   0.0000000
  19.9155034 141.4213538   0.0000000
  19.9155034 400.0000000   0.0000000
  20.4712651 -99.0000000   0.0000000
  20.4712651 -49.5000000   0.0000000
  20.4712651   0.0000000   0.0000000
  20.4712651 141.4213538   0.0000000
  20.4712651 400.0000000   0.0000000
  21.0321024 -99.0000000   0.0000000
  21.0321024 -49.5000000   0.0000000
  21.0321024   0.0000000   0.0000000
  21.0321024 141.4213538   0.0000000
  21.0321024 400.0000000   0.0000000
  21.5979699 -99.0000000   0.0000000
  21.5979699 -49.5000000   0.0000000
  21.5979699   0.0000000   0.0000000
  21.5979699 141.4213538   0.0000000
  21.5979699 400.0000000   0.0000000
  22.1688231 -99.0000000   0.0000000
  22.1688231 -49.5000000   0.0000000
  22.1688231   0.0000000   0.0000000
  22.1688231 141.4213538   0.0000000
  22.1688231 400.0000000   0.0000000
  22.7446189 -99.0000000   0.0000000
  22.7446189 -49.5000000   0.0000000
  22.7446189   0.0000000   0.0000000
  22.7446189 141.4213538   0.0000000
  22.7446189 400.0000000   0.0000000
  23.3253153 -99.0000000   0.0000000
  23.3253153 -49.5000000   0.0000000
  23.3253153   0.0000000   0.0000000
  23.3253153 141.4213538   0.0000000
  23.3253153 400.0000000   0.0000000
  23.9108712 -99.0000000   0.0000000
  23.9108712 -49.5000000   0.0000000
  23.9108712   0.0000000   0.0000000
  23.9108712 141.4213538   0.0000000
  23.9108712 400.0000000   0.0000000
  24.5012466 -99.0000000   0.0000000
  24.5012466 -49.5000000   0.0000000
  24.5012466   0.0000000   0.0046154
  24.5012466 141.4213538   0.0000000
  24.5012466 400.0000000   0.0000000
  25.0964026 -99.0000000   0.0000000
  25.0964026 -49.5000000   0.0000000
  25.0964026   0.0000000   0.0035868
  25.0964026 141.4213538   0.0000000
  25.0964026 400.0000000   0.0000000
  25.6963009 -99.0000000   0.0000000
  25.6963009 -49.5000000   0.0000000
  25.6963009   0.0000000   0.0091125
  25.6963009 141.4213538   0.0000000
  25.6963009 400.0000000   0.0000000
  26.3009044 -99.0000000   0.0000000
  26.3009044 -49.5000000   0.0000000
  26.3009044   0.0000000   0.0050209
  26.3009044 141.4213538   0.0000000
  26.3009044 400.0000000   0.0000000
  26.9101768 -99.0000000   0.0000000
