 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3704686  89.4267313 -12.3892692   2.6962902   1.0781073   3.5204982  -9.1363591   0.8868980
   2.0000000   1.3699277  89.7183791 -12.4368480   2.6860167   1.0808190   3.7162622  -8.9401002   0.8930744
   3.0000000   1.3695010  89.9812797 -13.7457291   2.6787583   1.2058823   8.9625291  -5.5841084   1.0837960
   4.0000000   1.3694150  91.8830373 -14.5853276   2.7215586   1.1174003  12.7589284 -12.9867786   1.2080056
   5.0000000   1.3693641  92.1272680 -13.9966107   2.7362850   1.0753217  13.0846760 -10.5748461   1.2065191
   6.0000000   1.3704427  92.1554224 -13.7778434   2.7443568   1.0869594  12.1989772  -3.3822367   1.1917053
   7.0000000   1.3702455  91.9012477 -13.8134129   2.7463795   1.0857545  11.0741277  -2.5622676   1.1568454
   8.0000000   1.3701472  91.5519572 -13.8645052   2.7443725   1.0784869  10.1583178  -2.8013733   1.1242938
   9.0000000   1.3699861  91.0236440 -13.9226021   2.7387238   1.0767605   9.3895900  -3.4053675   1.0965481
  10.0000000   1.3699147  90.5464608 -13.9719350   2.7333388   1.0848831   8.6355184  -4.0467056   1.0728492
  11.0000000   1.3700761  90.2397204 -14.0244338   2.7300834   1.0741292   7.6670797  -5.0059480   1.0337683
  12.0000000   1.3700800  89.8313234 -14.0598334   2.7249023   1.0808360   7.2218037  -5.3429824   1.0163812
  13.0000000   1.3702267  89.5530606 -14.0947821   2.7219900   1.0838197   7.0558043  -5.4694462   1.0104536
  14.0000000   1.3703610  89.3227119 -14.1219671   2.7194657   1.0811975   6.7805434  -5.7633838   1.0006501
  15.0000000   1.3705194  89.1011042 -14.1394598   2.7164775   1.0815565   6.2120213  -6.3193012   0.9820208
  16.0000000   1.3706152  88.8861259 -14.1515461   2.7130897   1.0810979   5.4323401  -7.0816576   0.9562234
  17.0000000   1.3706785  88.6797719 -14.1571547   2.7095834   1.0789718   4.8667141  -7.6133090   0.9365404
  18.0000000   1.3707151  88.4674831 -14.1560134   2.7057047   1.0803372   4.2633028  -8.1784871   0.9157668
  19.0000000   1.3708010  88.3003567 -14.1475231   2.7027359   1.0805952   3.8877534  -8.5992976   0.9028793
  20.0000000   1.3709556  88.1727037 -14.1349063   2.7006322   1.0788703   3.8477292  -8.6439746   0.9008230
  21.0000000   1.3711493  88.0570714 -14.1192331   2.6986272   1.0797681   3.8257127  -8.6557719   0.8997129
  22.0000000   1.3713519  87.9658030 -14.0995475   2.6969849   1.0795417   3.8218761  -8.6986291   0.8994839
  23.0000000   1.3715737  87.8896461 -14.0774865   2.6955411   1.0825314   3.6372801  -8.8696885   0.8941055
  24.0000000   1.3718351  87.8625014 -14.0556534   2.6949685   1.0781559   3.5725435  -9.0003489   0.8918496
  25.0000000   1.3720106  87.7827965 -14.0272979   2.6931015   1.0793345   3.4461815  -9.1014067   0.8874627
  26.0000000   1.3721598  87.7155004 -13.9972656   2.6913979   1.0812818   3.2660292  -9.2472999   0.8816540
  27.0000000   1.3722977  87.6708588 -13.9677654   2.6901531   1.0812348   3.2476199  -9.2568591   0.8808354
  28.0000000   1.3724083  87.6249147 -13.9370262   2.6887965   1.0807769   3.1466706  -9.3723028   0.8776054
  29.0000000   1.3724881  87.5742800 -13.9034260   2.6873104   1.0813942   3.1025860  -9.3999070   0.8760817
  30.0000000   1.3725532  87.5309646 -13.8694884   2.6858737   1.0806351   3.0265041  -9.4918538   0.8734900
  31.0000000   1.3726169  87.4880183 -13.8331728   2.6844099   1.0804335   2.9383820  -9.5861705   0.8706420
  32.0000000   1.3726705  87.4467786 -13.7946281   2.6835342   1.0860750   3.4432038  -9.0690149   0.8882631
  33.0000000   1.3728732  87.5025383 -13.7609829   2.6843456   1.0811929   3.7168770  -8.8770540   0.8962955
  34.0000000   1.3729872  87.4921705 -13.7240123   2.6835639   1.0811144   3.6917546  -8.9398361   0.8954015
  35.0000000   1.3730789  87.4788954 -13.6852986   2.6826493   1.0829725   3.5843974  -9.0390381   0.8918373
  36.0000000   1.3731492  87.4796330 -13.6462450   2.6820687   1.0820563   3.5678619  -9.0755002   0.8913169
  37.0000000   1.3731981  87.4698913 -13.6059877   2.6812405   1.0821302   3.5649092  -9.0784286   0.8912005
  38.0000000   1.3732286  87.4586944 -13.5648232   2.6803764   1.0821110   3.5476062  -9.1131173   0.8906122
  39.0000000   1.3732648  87.4530034 -13.5221416   2.6796517   1.0810822   3.6413013  -9.0268303   0.8933240
  40.0000000   1.3732766  87.4344614 -13.4811388   2.6785913   1.0813300   3.6435611  -9.0331718   0.8932195
  41.0000000   1.3731750  87.4953779 -13.4536252   2.6795912   1.0824957   3.5728247  -9.1030396   0.8907005
  42.0000000   1.3730879  87.5792741 -13.4136105   2.6807907   1.0828317   3.5535065  -9.1194327   0.8897762
  43.0000000   1.3730097  87.6642313 -13.3746738   2.6819602   1.0829190   3.5174997  -9.1624045   0.8885728
  44.0000000   1.3729425  87.7493353 -13.3371167   2.6831365   1.0810750   3.5513344  -9.1408466   0.8894685
  45.0000000   1.3728353  87.8026130 -13.3001275   2.6836187   1.0806254   3.5194272  -9.1824588   0.8884346
  46.0000000   1.3727425  87.8534166 -13.2637783   2.6839505   1.0785970   3.4161124  -9.3031344   0.8848480
  47.0000000   1.3726171  87.8751508 -13.2268605   2.6837780   1.0800053   3.3872259  -9.3289511   0.8839326
  48.0000000   1.3725416  87.9215132 -13.1905237   2.6841289   1.0790389   3.3831416  -9.3528145   0.8837530
  49.0000000   1.3724678  87.9578852 -13.1543668   2.6842818   1.0788772   3.3813025  -9.3624306   0.8836625
