 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3704686  89.4267313 -12.3892692   2.6962902   1.0781073   3.5204982  -9.1363591   0.8868980
   2.0000000   1.3699277  89.7183791 -12.4368480   2.6814030   1.0855068   4.5135068  -8.1897441   0.9174736
   3.0000000   1.3700147  90.0069609 -13.5867865   2.6886594   1.1457798   6.4617910 -15.5017938   0.9739514
   4.0000000   1.3688971  90.4645468 -14.3645951   2.6960469   1.1304917   7.6552825 -18.1256324   1.0085147
   5.0000000   1.3679103  90.7116422 -14.9473444   2.6881846   1.1120113   8.7676686 -22.1835772   1.0352894
   6.0000000   1.3674071  90.6488486 -15.2518113   2.6971966   1.0902601   9.1205933 -29.4266871   1.0390372
   7.0000000   1.3673778  90.5379855 -15.1937478   2.7188419   1.0828399   7.7507429 -26.2219395   1.0059857
   8.0000000   1.3669284  90.3465726 -15.1036323   2.7295899   1.0799409   6.7302705 -23.0638058   0.9759280
   9.0000000   1.3668085  90.3125845 -14.9433427   2.7409388   1.0831459   5.7013048 -20.0006320   0.9498934
  10.0000000   1.3666701  90.3724480 -14.7760717   2.7420064   1.0794296   5.4116347 -20.4051417   0.9411905
  11.0000000   1.3668729  90.5123029 -14.5242760   2.7415606   1.0821164   5.1811179 -16.0076252   0.9386369
  12.0000000   1.3669441  90.6216752 -14.3640365   2.7448969   1.0832818   4.9642955 -13.9284056   0.9345346
  13.0000000   1.3670045  90.7495650 -14.2375813   2.7461779   1.0812018   4.8868881 -12.6796188   0.9335475
  14.0000000   1.3670425  90.8511632 -14.1180740   2.7336093   1.0808716   5.1705574 -11.3625624   0.9420579
  15.0000000   1.3672078  90.9101670 -14.0536702   2.7336692   1.0839888   5.2003703 -10.4760417   0.9454106
  16.0000000   1.3672404  90.9456594 -14.0028112   2.7260204   1.0829961   5.5490556  -9.7515129   0.9563050
  17.0000000   1.3673535  90.9436396 -13.9786494   2.7319682   1.0756262   5.4043036  -9.1362701   0.9518098
  18.0000000   1.3673842  90.8811276 -13.9516771   2.7328164   1.0816517   5.1793037  -8.8388890   0.9454000
