 ia a_1 a_t1
   1.0000000 -99.0000000 -99.0000000
   2.0000000 -97.4032258 -97.4032258
   3.0000000 -95.8064516 -95.8064516
   4.0000000 -94.2096774 -94.2096774
   5.0000000 -92.6129032 -92.6129032
   6.0000000 -91.0161290 -91.0161290
   7.0000000 -89.4193548 -89.4193548
   8.0000000 -87.8225806 -87.8225806
   9.0000000 -86.2258065 -86.2258065
  10.0000000 -84.6290323 -84.6290323
  11.0000000 -83.0322581 -83.0322581
  12.0000000 -81.4354839 -81.4354839
  13.0000000 -79.8387097 -79.8387097
  14.0000000 -78.2419355 -78.2419355
  15.0000000 -76.6451613 -76.6451613
  16.0000000 -75.0483871 -75.0483871
  17.0000000 -73.4516129 -73.4516129
  18.0000000 -71.8548387 -71.8548387
  19.0000000 -70.2580645 -70.2580645
  20.0000000 -68.6612903 -68.6612903
  21.0000000 -67.0645161 -67.0645161
  22.0000000 -65.4677419 -65.4677419
  23.0000000 -63.8709677 -63.8709677
  24.0000000 -62.2741935 -62.2741935
  25.0000000 -60.6774194 -60.6774194
  26.0000000 -59.0806452 -59.0806452
  27.0000000 -57.4838710 -57.4838710
  28.0000000 -55.8870968 -55.8870968
  29.0000000 -54.2903226 -54.2903226
  30.0000000 -52.6935484 -52.6935484
  31.0000000 -51.0967742 -51.0967742
  32.0000000 -49.5000000 -49.5000000
  33.0000000 -47.9032258 -47.9032258
  34.0000000 -46.3064516 -46.3064516
  35.0000000 -44.7096774 -44.7096774
  36.0000000 -43.1129032 -43.1129032
  37.0000000 -41.5161290 -41.5161290
  38.0000000 -39.9193548 -39.9193548
  39.0000000 -38.3225806 -38.3225806
  40.0000000 -36.7258065 -36.7258065
  41.0000000 -35.1290323 -35.1290323
  42.0000000 -33.5322581 -33.5322581
  43.0000000 -31.9354839 -31.9354839
  44.0000000 -30.3387097 -30.3387097
  45.0000000 -28.7419355 -28.7419355
  46.0000000 -27.1451613 -27.1451613
  47.0000000 -25.5483871 -25.5483871
  48.0000000 -23.9516129 -23.9516129
  49.0000000 -22.3548387 -22.3548387
  50.0000000 -20.7580645 -20.7580645
  51.0000000 -19.1612903 -19.1612903
  52.0000000 -17.5645161 -17.5645161
  53.0000000 -15.9677419 -15.9677419
  54.0000000 -14.3709677 -14.3709677
  55.0000000 -12.7741935 -12.7741935
  56.0000000 -11.1774194 -11.1774194
  57.0000000  -9.5806452  -9.5806452
  58.0000000  -7.9838710  -7.9838710
  59.0000000  -6.3870968  -6.3870968
  60.0000000  -4.7903226  -4.7903226
  61.0000000  -3.1935484  -3.1935484
  62.0000000  -1.5967742  -1.5967742
  63.0000000   0.0000000   0.0000000
  64.0000000   0.8193556   0.8193556
  65.0000000   2.3174874   2.3174874
  66.0000000   4.2574964   4.2574964
  67.0000000   6.5548450   6.5548450
  68.0000000   9.1606744   9.1606744
  69.0000000  12.0420188  12.0420188
  70.0000000  15.1746795  15.1746795
  71.0000000  18.5398996  18.5398996
  72.0000000  22.1226022  22.1226022
  73.0000000  25.9103000  25.9103000
  74.0000000  29.8924446  29.8924446
  75.0000000  34.0599716  34.0599716
  76.0000000  38.4049714  38.4049714
  77.0000000  42.9204732  42.9204732
  78.0000000  47.6002604  47.6002604
  79.0000000  52.4387598  52.4387598
  80.0000000  57.4309230  57.4309230
  81.0000000  62.5721633  62.5721633
  82.0000000  67.8582907  67.8582907
  83.0000000  73.2853949  73.2853949
  84.0000000  78.8499355  78.8499355
  85.0000000  84.5486104  84.5486104
  86.0000000  90.3783083  90.3783083
  87.0000000  96.3361502  96.3361502
  88.0000000 102.4194479 102.4194479
  89.0000000 108.6256623 108.6256623
  90.0000000 114.9524093 114.9524093
  91.0000000 121.3974357 121.3974357
  92.0000000 127.9585719 127.9585719
  93.0000000 134.6338630 134.6338630
  94.0000000 141.4213419 141.4213419
  95.0000000 148.3191967 148.3191967
  96.0000000 155.3256869 155.3256869
  97.0000000 162.4391675 162.4391675
  98.0000000 169.6580529 169.6580529
  99.0000000 176.9808173 176.9808173
 100.0000000 184.4059825 184.4059825
 101.0000000 191.9322133 191.9322133
 102.0000000 199.5581031 199.5581031
 103.0000000 207.2824001 207.2824001
 104.0000000 215.1038647 215.1038647
 105.0000000 223.0212927 223.0212927
 106.0000000 231.0335875 231.0335875
 107.0000000 239.1395569 239.1395569
 108.0000000 247.3381996 247.3381996
 109.0000000 255.6284666 255.6284666
 110.0000000 264.0093088 264.0093088
 111.0000000 272.4797726 272.4797726
 112.0000000 281.0389519 281.0389519
 113.0000000 289.6859407 289.6859407
 114.0000000 298.4198570 298.4198570
 115.0000000 307.2397709 307.2397709
 116.0000000 316.1449432 316.1449432
 117.0000000 325.1345158 325.1345158
 118.0000000 334.2077255 334.2077255
 119.0000000 343.3637857 343.3637857
 120.0000000 352.6019335 352.6019335
 121.0000000 361.9215250 361.9215250
 122.0000000 371.3218212 371.3218212
 123.0000000 380.8020830 380.8020830
 124.0000000 390.3617144 390.3617144
 125.0000000 400.0000000 400.0000000
