 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
   1.0000000   1.3704686  89.4267313 -12.3892692   2.6962902   1.0781073   3.5204982  -9.1363591   0.8868980
   2.0000000   1.3699277  89.7183791 -12.4368480   2.6910307   1.0807909   3.7153990  -8.9411630   0.8933297
   3.0000000   1.3695011  90.0811906 -13.5620892   2.6928247   1.1440439   6.0169568 -16.1422176   0.9600885
   4.0000000   1.3687819  90.7050191 -14.0937500   2.7050778   1.1254358   7.1585307 -17.0495142   0.9968517
   5.0000000   1.3681556  91.0517029 -14.4312875   2.7140761   1.0992102   7.9165603 -24.1448724   1.0105016
   6.0000000   1.3680346  91.2614543 -14.3891257   2.7201671   1.0870977   7.4027799 -22.7385409   0.9977780
   7.0000000   1.3676489  91.2537101 -14.3095738   2.7222597   1.0894958   6.8350610 -19.7132201   0.9844352
   8.0000000   1.3675946  91.3641848 -14.2220457   2.7265177   1.0821406   6.4354812 -18.6685318   0.9726757
   9.0000000   1.3675316  91.3955252 -14.1188798   2.7294068   1.0836531   6.2956266 -14.2991878   0.9739957
  10.0000000   1.3674674  91.4328654 -14.0975959   2.7321502   1.0845112   6.0018813 -12.5755404   0.9690988
  11.0000000   1.3672894  91.4362065 -14.0995133   2.7340466   1.0830533   5.7306990 -11.4727863   0.9622566
  12.0000000   1.3672809  91.3265833 -14.0931948   2.7332891   1.0818720   5.6499028 -10.5727304   0.9603162
  13.0000000   1.3673293  91.2146325 -14.1063475   2.7327430   1.0821087   5.6368737  -9.8022008   0.9605308
  14.0000000   1.3674060  91.1190163 -14.1242665   2.7322523   1.0806225   5.5747019  -9.4307240   0.9582386
  15.0000000   1.3674761  91.0163061 -14.1414685   2.7316276   1.0775804   5.3829860  -8.9848310   0.9519323
  16.0000000   1.3674954  90.8785233 -14.1648310   2.7301649   1.0822238   5.3068274  -8.6276024   0.9499165
  17.0000000   1.3675194  90.7901851 -14.1920985   2.7296101   1.0813228   5.3267070  -8.4418076   0.9505220
  18.0000000   1.3675622  90.7051876 -14.2164827   2.7289623   1.0820881   5.2476380  -8.2931136   0.9481639
  19.0000000   1.3675966  90.6298181 -14.2403808   2.7285031   1.0811900   5.2880330  -8.1135889   0.9493268
  20.0000000   1.3676741  90.5659756 -14.2632131   2.7281839   1.0816332   5.2495901  -8.0785486   0.9478689
  21.0000000   1.3677516  90.5101905 -14.2834086   2.7278795   1.0810289   5.1364240  -8.0522936   0.9438807
  22.0000000   1.3678071  90.4483585 -14.3027380   2.7272394   1.0802571   4.9027568  -8.2478393   0.9353955
  23.0000000   1.3678452  90.3796999 -14.3182113   2.7265021   1.0822466   4.7939660  -8.2946831   0.9315421
  24.0000000   1.3679371  90.3497739 -14.3324031   2.7264556   1.0803303   4.5939297  -8.4733551   0.9244769
  25.0000000   1.3679702  90.2887882 -14.3406973   2.7257920   1.0807101   4.4823775  -8.5219933   0.9206617
  26.0000000   1.3680761  90.2579971 -14.3507614   2.7259571   1.0778284   4.5617536  -8.4477541   0.9241540
  27.0000000   1.3681674  90.2035181 -14.3572533   2.7254517   1.0754638   4.6318779  -8.3404504   0.9261824
  28.0000000   1.3683445  90.0800625 -14.3524092   2.7234740   1.0758732   4.6770132  -8.2529277   0.9271749
  29.0000000   1.3685096  89.9597928 -14.3507050   2.7214084   1.0763913   4.5775326  -8.2896402   0.9248629
  30.0000000   1.3686131  89.8355311 -14.3471740   2.7190532   1.0757022   4.4205287  -8.4227834   0.9192671
  31.0000000   1.3687157  89.7157629 -14.3394855   2.7169096   1.0764959   4.3717966  -8.4111145   0.9180120
  32.0000000   1.3688378  89.6174427 -14.3325110   2.7151735   1.0764296   4.3461008  -8.4306079   0.9170992
  33.0000000   1.3689639  89.5285592 -14.3229678   2.7135922   1.0780103   4.2997428  -8.4702859   0.9157363
  34.0000000   1.3691038  89.4650666 -14.3105256   2.7124745   1.0766842   4.2413568  -8.5347681   0.9131685
  35.0000000   1.3692527  89.4005493 -14.2955886   2.7113442   1.0766041   4.2322300  -8.5298699   0.9124302
  36.0000000   1.3693963  89.3406233 -14.2800128   2.7101295   1.0738466   4.0754783  -8.6970575   0.9065606
  37.0000000   1.3694809  89.2476750 -14.2591238   2.7083090   1.0769448   3.9589100  -8.7022674   0.9028521
  38.0000000   1.3696040  89.1993841 -14.2398103   2.7074427   1.0782588   3.9159938  -8.7391027   0.9016299
  39.0000000   1.3697404  89.1715360 -14.2203673   2.7068771   1.0769285   3.7680914  -8.8823832   0.8962992
  40.0000000   1.3698005  89.1147221 -14.1965819   2.7057568   1.0779036   3.6384528  -8.9564870   0.8918789
  41.0000000   1.3699128  89.0876659 -14.1735760   2.7053476   1.0780820   3.6923327  -8.9070101   0.8938595
  42.0000000   1.3700156  89.0633710 -14.1496172   2.7048808   1.0757455   3.6547603  -8.9791691   0.8922845
  43.0000000   1.3701118  89.0220174 -14.1217296   2.7041122   1.0785048   3.6743742  -8.8756256   0.8933582
  44.0000000   1.3702098  89.0081566 -14.0974831   2.7038767   1.0763881   3.6824699  -8.8645150   0.8934269
  45.0000000   1.3702571  88.9652836 -14.0716134   2.7030645   1.0788330   3.7091058  -8.8320559   0.8944963
  46.0000000   1.3703370  88.9561992 -14.0458943   2.7029121   1.0804922   3.6523563  -8.8976387   0.8930941
  47.0000000   1.3704293  88.9664809 -14.0201420   2.7030944   1.0801262   3.5381086  -8.9701528   0.8892353
  48.0000000   1.3704880  88.9656867 -13.9944409   2.7031316   1.0801145   3.5312732  -8.9977005   0.8889395
  49.0000000   1.3705702  88.9732121 -13.9692886   2.7032847   1.0793995   3.4823559  -9.0626806   0.8873631
  50.0000000   1.3706467  88.9746656 -13.9427375   2.7033126   1.0798837   3.4584904  -9.0731542   0.8867215
  51.0000000   1.3707504  88.9601584 -13.9122247   2.7029788   1.0803146   3.4775947  -9.0917346   0.8875672
  52.0000000   1.3708899  88.9597481 -13.8849363   2.7030117   1.0776626   3.5026197  -9.0739013   0.8882602
  53.0000000   1.3709559  88.9179373 -13.8562752   2.7021270   1.0790920   3.4242591  -9.1402704   0.8855142
  54.0000000   1.3710311  88.8957195 -13.8265375   2.7017023   1.0804067   3.4682638  -9.0505894   0.8874000
  55.0000000   1.3710816  88.8798494 -13.7989942   2.7013433   1.0793003   3.4262941  -9.1115431   0.8859261
  56.0000000   1.3711302  88.8567682 -13.7701072   2.7008400   1.0818520   3.3726317  -9.1416699   0.8844462
  57.0000000   1.3711906  88.8575610 -13.7461877   2.7008639   1.0804285   3.3696412  -9.1888764   0.8843272
  58.0000000   1.3712680  88.8599565 -13.7141915   2.7009294   1.0811161   3.3725068  -9.1445710   0.8845046
  59.0000000   1.3712988  88.8536781 -13.6858958   2.7007200   1.0799729   3.2665869  -9.2752353   0.8807045
  60.0000000   1.3713304  88.8398938 -13.6565239   2.7004269   1.0826047   3.2880967  -9.2159177   0.8815594
  61.0000000   1.3713695  88.8534098 -13.6287983   2.7006387   1.0799201   3.3177512  -9.2430943   0.8826931
  62.0000000   1.3713945  88.8403977 -13.5991509   2.7002756   1.0813581   3.2597152  -9.2751565   0.8808436
  63.0000000   1.3714208  88.8417025 -13.5700982   2.7004408   1.0810284   3.2331934  -9.3043657   0.8797592
  64.0000000   1.3714417  88.8405951 -13.5406603   2.7006303   1.0811450   3.1851952  -9.3618745   0.8782316
  65.0000000   1.3714633  88.8413988 -13.5127668   2.7007056   1.0875466   3.9075689  -8.6262080   0.9030765
  66.0000000   1.3716446  88.9465523 -13.4905040   2.7029752   1.0812713   4.0236589  -8.5773619   0.9064819
  67.0000000   1.3716436  88.9389600 -13.4658101   2.7027643   1.0808936   4.0419264  -8.6197208   0.9070855
  68.0000000   1.3716808  88.9411473 -13.4394046   2.7027571   1.0818205   4.0049364  -8.6482602   0.9059979
  69.0000000   1.3717153  88.9515355 -13.4142070   2.7029475   1.0804794   3.9961503  -8.6675442   0.9054164
  70.0000000   1.3717080  88.9388857 -13.3883266   2.7025870   1.0812828   4.0450286  -8.6208339   0.9068333
  71.0000000   1.3717786  88.9330343 -13.3604508   2.7022201   1.0799813   4.0001009  -8.6728677   0.9052213
  72.0000000   1.3717650  88.8904126 -13.3341907   2.7011724   1.0802854   3.9488025  -8.7404035   0.9036551
  73.0000000   1.3718175  88.8736929 -13.3074646   2.7007027   1.0810918   3.9402102  -8.7345500   0.9034481
  74.0000000   1.3718453  88.8588515 -13.2816130   2.7002325   1.0805981   3.9097191  -8.7719529   0.9022689
  75.0000000   1.3718587  88.8379393 -13.2549217   2.6996149   1.0809400   3.8546464  -8.8253360   0.9004278
  76.0000000   1.3718741  88.8227343 -13.2286988   2.6991490   1.0809214   3.8492787  -8.8271980   0.9002304
  77.0000000   1.3718768  88.8058492 -13.2021759   2.6986324   1.0808889   3.8320637  -8.8465391   0.8996082
  78.0000000   1.3718807  88.7914752 -13.1751985   2.6981325   1.0808849   3.7906677  -8.8813224   0.8983084
  79.0000000   1.3718754  88.7760626 -13.1475478   2.6976342   1.0809376   3.7822748  -8.8941108   0.8979432
  80.0000000   1.3718777  88.7654744 -13.1212567   2.6972144   1.0810918   3.7909102  -8.8755773   0.8981381
  81.0000000   1.3718624  88.7521959 -13.0948491   2.6967019   1.0805588   3.7267066  -8.9465741   0.8958921
  82.0000000   1.3718466  88.7358604 -13.0684423   2.6961907   1.0809081   3.7597368  -8.9110954   0.8969969
  83.0000000   1.3718437  88.7278532 -13.0426110   2.6958127   1.0817221   3.7386355  -8.9290615   0.8963470
  84.0000000   1.3718461  88.7295666 -13.0174535   2.6956313   1.0809282   3.7306471  -8.9850969   0.8961281
  85.0000000   1.3718681  88.7316781 -12.9924421   2.6954632   1.0810693   3.7332817  -8.9873486   0.8961953
  86.0000000   1.3718781  88.7316406 -12.9672525   2.6952401   1.0815796   3.7141942  -9.0129500   0.8957032
  87.0000000   1.3719073  88.7426339 -12.9423511   2.6952223   1.0812292   3.6925754  -9.0424024   0.8949492
  88.0000000   1.3720473  88.6735089 -12.9055484   2.6931871   1.0815266   3.6847141  -9.0527585   0.8945427
  89.0000000   1.3721680  88.5956949 -12.8816722   2.6914606   1.0802968   3.7766936  -8.9763701   0.8977538
  90.0000000   1.3721495  88.5841908 -12.8660463   2.6911752   1.0810699   3.7844383  -8.9492927   0.8980439
  91.0000000   1.3721220  88.5852863 -12.8374410   2.6915450   1.0806489   3.8281472  -8.8887424   0.8995168
  92.0000000   1.3720813  88.5852018 -12.8057304   2.6919875   1.0778141   3.5164813  -9.2414352   0.8880254
  93.0000000   1.3719969  88.5574491 -12.7724962   2.6913202   1.0784961   3.5823244  -9.1252983   0.8896841
  94.0000000   1.3718978  88.5342304 -12.7411081   2.6904150   1.0787912   3.4718833  -9.2015428   0.8863264
  95.0000000   1.3717997  88.5152667 -12.7101839   2.6895932   1.0785921   3.5115530  -9.1877825   0.8870707
  96.0000000   1.3717895  88.5208394 -12.6797756   2.6892725   1.0786415   3.5038108  -9.1930324   0.8867788
  97.0000000   1.3717579  88.5215735 -12.6492197   2.6888529   1.0787619   3.4946752  -9.2041371   0.8864757
  98.0000000   1.3717404  88.5275897 -12.6195040   2.6885543   1.0787112   3.4925340  -9.2076685   0.8863752
  99.0000000   1.3717230  88.5330521 -12.5907022   2.6882634   1.0787277   3.4900992  -9.2113154   0.8862818
